4 -1 -2 -3 -2 0 0.447308 0.446627
10 5 4 3 2 3 0.401745 0.368055
7.19135 2.73356 0.437029 -1.88437 -1.24239 0 0.468358 0.470766
4 -1 -2 -3 -2 0 0.447308 0.446627
10 5 4 3 2 3 0.401745 0.368055
7.19135 2.73356 0.437029 -1.88437 -1.24239 0 0.468358 0.470766
4 -1 4 3 2 3 0.406862 0.376592
4 -1 -2 -3 -2 0 0.447308 0.446627
10 5 4 3 2 3 0.401745 0.368055
7.19135 2.73356 0.437029 -1.88437 -1.24239 0 0.468358 0.470766
4 -1 -2 -3 -2 0 0.447308 0.446627
10 5 4 3 2 3 0.401745 0.368055
7.19135 2.73356 0.437029 -1.88437 -1.24239 0 0.468358 0.470766
4 -1 4 3 2 3 0.406862 0.376592
4 -1 -2 -3 -2 0 0.447308 0.446627
10 5 4 3 2 3 0.401745 0.368055
7.19135 2.73356 0.437029 -1.88437 -1.24239 0 0.468358 0.470766
4 -1 4 3 2 3 0.406862 0.376592
10 5 -2 -3 -2 3 0.446767 0.450556
