182   NumCoords   ! The number of coordinates in the airfoil shape file.  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.250000 0.000000
! coordinates of airfoil shape
! interpolation to N points
!  x/c        y/c
1.000000 -0.006658
0.988369 -0.004183
0.976715 -0.001806
0.964976 0.000077
0.953209 0.001800
0.941379 0.002922
0.929520 0.003785
0.917641 0.004241
0.905749 0.004433
0.893863 0.004168
0.881983 0.003571
0.870128 0.002635
0.858294 0.001427
0.846493 -0.000044
0.834723 -0.001765
0.822987 -0.003691
0.811290 -0.005842
0.799625 -0.008157
0.788005 -0.010685
0.776422 -0.013370
0.764896 -0.016286
0.753409 -0.019357
0.741979 -0.022636
0.730589 -0.026054
0.719247 -0.029626
0.707938 -0.033298
0.696661 -0.037068
0.685406 -0.040899
0.674169 -0.044778
0.662942 -0.048682
0.651718 -0.052587
0.640494 -0.056483
0.629263 -0.060351
0.618020 -0.064174
0.606764 -0.067946
0.595486 -0.071646
0.584198 -0.075314
0.572895 -0.078941
0.561584 -0.082558
0.550266 -0.086168
0.538929 -0.089731
0.527585 -0.093281
0.516206 -0.096728
0.504812 -0.100129
0.493391 -0.103442
0.481935 -0.106638
0.470457 -0.109759
0.458938 -0.112723
0.447388 -0.115566
0.435811 -0.118297
0.424189 -0.120832
0.412537 -0.123222
0.400856 -0.125464
0.389135 -0.127489
0.377385 -0.129337
0.365610 -0.131009
0.353806 -0.132480
0.341974 -0.133688
0.330122 -0.134677
0.318252 -0.135433
0.306369 -0.135944
0.294477 -0.136191
0.282582 -0.136139
0.270693 -0.135792
0.258824 -0.135042
0.246983 -0.133932
0.235167 -0.132569
0.223375 -0.131008
0.211612 -0.129246
0.199882 -0.127279
0.188189 -0.125101
0.176540 -0.122706
0.164942 -0.120085
0.153433 -0.117120
0.142036 -0.113782
0.130733 -0.110158
0.119553 -0.106197
0.108500 -0.101903
0.097622 -0.097194
0.086940 -0.092045
0.076510 -0.086389
0.066366 -0.080224
0.056498 -0.073632
0.046899 -0.066682
0.037564 -0.059435
0.028564 -0.051845
0.020122 -0.043662
0.012588 -0.034601
0.006604 -0.024384
0.002965 -0.013102
0.002088 -0.001297
0.003368 0.010451
0.006575 0.021833
0.011526 0.032586
0.017829 0.042602
0.025164 0.051885
0.033295 0.060489
0.042014 0.068516
0.051210 0.076008
0.060811 0.082981
0.070788 0.089407
0.081095 0.095285
0.091685 0.100628
0.102508 0.105483
0.113512 0.109915
0.124679 0.113939
0.135966 0.117626
0.147368 0.120967
0.158855 0.124023
0.170432 0.126737
0.182091 0.129097
0.193793 0.131229
0.205533 0.133135
0.217308 0.134817
0.229112 0.136272
0.240942 0.137509
0.252791 0.138535
0.264657 0.139361
0.276534 0.139987
0.288422 0.140414
0.300314 0.140652
0.312208 0.140523
0.324097 0.140169
0.335979 0.139632
0.347853 0.138934
0.359718 0.138089
0.371572 0.137092
0.383413 0.135966
0.395244 0.134730
0.407063 0.133387
0.418865 0.131901
0.430655 0.130324
0.442434 0.128665
0.454197 0.126899
0.465949 0.125060
0.477692 0.123163
0.489420 0.121175
0.501139 0.119138
0.512849 0.117049
0.524547 0.114895
0.536241 0.112715
0.547927 0.110499
0.559610 0.108267
0.571292 0.106032
0.582967 0.103769
0.594638 0.101483
0.606295 0.099129
0.617940 0.096708
0.629567 0.094198
0.641179 0.091617
0.652777 0.088978
0.664363 0.086282
0.675940 0.083551
0.687507 0.080775
0.699069 0.077980
0.710623 0.075151
0.722175 0.072317
0.733725 0.069469
0.745278 0.066640
0.756837 0.063831
0.768405 0.061063
0.779981 0.058335
0.791568 0.055656
0.803164 0.053026
0.814769 0.050446
0.826380 0.047901
0.837994 0.045377
0.849610 0.042858
0.861223 0.040322
0.872833 0.037764
0.884437 0.035171
0.896035 0.032544
0.907624 0.029869
0.919207 0.027164
0.930779 0.024408
0.942340 0.021609
0.953890 0.018766
0.965430 0.015886
0.976961 0.012971
0.988485 0.010029
1.000000 0.007059
