182   NumCoords   ! The number of coordinates in the airfoil shape file.  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.250000 0.000000
! coordinates of airfoil shape
! interpolation to N points
!  x/c        y/c
1.000000 -0.010299
0.988035 -0.008049
0.976007 -0.006096
0.963917 -0.004437
0.951732 -0.003412
0.939520 -0.002702
0.927285 -0.002281
0.915036 -0.002248
0.902790 -0.002487
0.890555 -0.003059
0.878345 -0.004065
0.866171 -0.005412
0.854029 -0.007033
0.841942 -0.009023
0.829908 -0.011311
0.817917 -0.013812
0.805987 -0.016593
0.794118 -0.019626
0.782303 -0.022858
0.770541 -0.026284
0.758860 -0.029975
0.747224 -0.033807
0.735640 -0.037792
0.724115 -0.041947
0.712636 -0.046227
0.701192 -0.050599
0.689788 -0.055076
0.678418 -0.059639
0.667068 -0.064251
0.655733 -0.068901
0.644413 -0.073585
0.633094 -0.078275
0.621774 -0.082961
0.610446 -0.087629
0.599110 -0.092276
0.587754 -0.096874
0.576378 -0.101423
0.564975 -0.105902
0.553543 -0.110310
0.542071 -0.114610
0.530561 -0.118809
0.519018 -0.122914
0.507430 -0.126891
0.495802 -0.130752
0.484123 -0.134454
0.472400 -0.138013
0.460635 -0.141429
0.448820 -0.144670
0.436959 -0.147738
0.425051 -0.150620
0.413092 -0.153284
0.401101 -0.155797
0.389074 -0.158129
0.377000 -0.160206
0.364886 -0.162034
0.352736 -0.163603
0.340555 -0.164906
0.328345 -0.165913
0.316121 -0.166726
0.303885 -0.167337
0.291639 -0.167694
0.279388 -0.167783
0.267139 -0.167586
0.254897 -0.167107
0.242671 -0.166335
0.230468 -0.165253
0.218297 -0.163857
0.206166 -0.162148
0.194084 -0.160124
0.182062 -0.157771
0.170119 -0.155044
0.158260 -0.151970
0.146503 -0.148529
0.134882 -0.144655
0.123398 -0.140393
0.112083 -0.135701
0.100964 -0.130561
0.090087 -0.124930
0.079484 -0.118800
0.069214 -0.112130
0.059335 -0.104894
0.049886 -0.097109
0.040937 -0.088756
0.032582 -0.079812
0.024942 -0.070254
0.018105 -0.060108
0.012125 -0.049433
0.007189 -0.038242
0.003603 -0.026549
0.001286 -0.014526
0.000082 -0.002344
0.000661 0.009881
0.002544 0.021984
0.005217 0.033930
0.009221 0.045492
0.014489 0.056542
0.020659 0.067113
0.027627 0.077174
0.035339 0.086679
0.043705 0.095615
0.052648 0.103974
0.062099 0.111756
0.072000 0.118959
0.082293 0.125593
0.092947 0.131630
0.103880 0.137150
0.115072 0.142126
0.126473 0.146600
0.138055 0.150587
0.149779 0.154135
0.161636 0.157213
0.173592 0.159880
0.185629 0.162156
0.197737 0.164019
0.209893 0.165534
0.222087 0.166720
0.234306 0.167609
0.246543 0.168202
0.258790 0.168526
0.271041 0.168600
0.283291 0.168455
0.295537 0.168087
0.307778 0.167564
0.320011 0.166903
0.332233 0.166055
0.344440 0.165014
0.356631 0.163799
0.368804 0.162410
0.380957 0.160865
0.393093 0.159182
0.405209 0.157367
0.417306 0.155428
0.429385 0.153377
0.441446 0.151223
0.453499 0.149026
0.465538 0.146752
0.477562 0.144401
0.489571 0.141978
0.501569 0.139497
0.513553 0.136955
0.525525 0.134350
0.537484 0.131689
0.549432 0.128981
0.561372 0.126236
0.573301 0.123445
0.585221 0.120614
0.597130 0.117738
0.609032 0.114835
0.620928 0.111904
0.632814 0.108936
0.644694 0.105941
0.656567 0.102921
0.668436 0.099882
0.680297 0.096815
0.692154 0.093729
0.704005 0.090624
0.715852 0.087504
0.727694 0.084362
0.739532 0.081208
0.751368 0.078043
0.763202 0.074870
0.775032 0.071687
0.786862 0.068501
0.798691 0.065311
0.810519 0.062118
0.822346 0.058921
0.834173 0.055725
0.846000 0.052529
0.857831 0.049345
0.869664 0.046171
0.881499 0.043007
0.893337 0.039849
0.905179 0.036709
0.917026 0.033587
0.928878 0.030488
0.940736 0.027408
0.952593 0.024329
0.964448 0.021239
0.976301 0.018141
0.988151 0.015034
1.000000 0.011921
