182   NumCoords   ! The number of coordinates in the airfoil shape file.  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.279939 0.000000
! coordinates of airfoil shape
! interpolation to N points
!  x/c        y/c
1.000000 0.000170
0.990407 -0.008698
0.980056 -0.015991
0.968470 -0.020675
0.956875 -0.025594
0.945350 -0.031062
0.933811 -0.036697
0.922436 -0.042982
0.911026 -0.049328
0.899765 -0.056163
0.888435 -0.062996
0.877208 -0.070167
0.865918 -0.077312
0.854710 -0.084710
0.843441 -0.092080
0.832161 -0.099531
0.820822 -0.106951
0.809530 -0.114522
0.798190 -0.122071
0.786800 -0.129589
0.775344 -0.137055
0.763833 -0.144479
0.752272 -0.151858
0.740634 -0.159140
0.728945 -0.166369
0.717120 -0.173390
0.705237 -0.180338
0.693238 -0.187096
0.681186 -0.193774
0.669004 -0.200219
0.656756 -0.206548
0.644380 -0.212629
0.631922 -0.218544
0.619360 -0.224238
0.606708 -0.229727
0.593977 -0.235030
0.581147 -0.240082
0.568264 -0.244994
0.555248 -0.249534
0.542183 -0.253916
0.529005 -0.257941
0.515778 -0.261778
0.502503 -0.265421
0.489113 -0.268606
0.475684 -0.271593
0.462201 -0.274304
0.448653 -0.276630
0.435064 -0.278677
0.421420 -0.280309
0.407756 -0.281663
0.394077 -0.282760
0.380372 -0.283428
0.366660 -0.283709
0.352950 -0.283690
0.339254 -0.283397
0.325578 -0.282563
0.311933 -0.281407
0.298326 -0.279936
0.284767 -0.278120
0.271273 -0.275890
0.257864 -0.273201
0.244545 -0.270117
0.231317 -0.266682
0.218200 -0.262873
0.205216 -0.258635
0.192382 -0.253966
0.179700 -0.248905
0.167227 -0.243335
0.154932 -0.237400
0.142890 -0.230952
0.131080 -0.224088
0.119568 -0.216725
0.108342 -0.208929
0.097499 -0.200591
0.087047 -0.191758
0.077027 -0.182422
0.067484 -0.172586
0.058447 -0.162268
0.049913 -0.151522
0.041911 -0.140365
0.034598 -0.128728
0.027915 -0.116711
0.021994 -0.104286
0.016664 -0.091592
0.012003 -0.078630
0.008108 -0.065413
0.005114 -0.051957
0.002908 -0.038346
0.001334 -0.024645
0.000344 -0.010891
0.000110 0.002889
0.001002 0.016648
0.002406 0.030364
0.004215 0.044033
0.006660 0.057599
0.010058 0.070952
0.014319 0.084049
0.019223 0.096913
0.024701 0.109540
0.030859 0.121840
0.037687 0.133774
0.045066 0.145366
0.053084 0.156512
0.061587 0.167285
0.070606 0.177619
0.080146 0.187460
0.090188 0.196767
0.100611 0.205643
0.111492 0.213924
0.122689 0.221764
0.134218 0.229099
0.146037 0.235944
0.158110 0.242320
0.170418 0.248231
0.182943 0.253657
0.195676 0.258557
0.208584 0.262964
0.221639 0.266919
0.234818 0.270453
0.248104 0.273566
0.261481 0.276276
0.274936 0.278609
0.288459 0.280529
0.302036 0.282077
0.315655 0.283227
0.329307 0.284019
0.342984 0.284504
0.356679 0.284726
0.370375 0.284520
0.384073 0.284020
0.397774 0.283307
0.411457 0.282252
0.425130 0.280950
0.438781 0.279380
0.452396 0.277465
0.465992 0.275381
0.479557 0.273042
0.493077 0.270449
0.506570 0.267663
0.520002 0.264590
0.533393 0.261326
0.546726 0.257817
0.560008 0.254111
0.573256 0.250277
0.586422 0.246167
0.599551 0.241945
0.612607 0.237504
0.625612 0.232926
0.638552 0.228178
0.651409 0.223226
0.664194 0.218105
0.676911 0.212837
0.689578 0.207475
0.702124 0.201849
0.714609 0.196122
0.726996 0.190216
0.739333 0.184246
0.751559 0.178079
0.763733 0.171851
0.775788 0.165424
0.787778 0.158926
0.799624 0.152205
0.811410 0.145429
0.823094 0.138521
0.834714 0.131561
0.846217 0.124445
0.857632 0.117266
0.868888 0.109869
0.880081 0.102437
0.891172 0.094907
0.902198 0.087348
0.913073 0.079634
0.923881 0.071900
0.934565 0.064046
0.945180 0.056172
0.955602 0.048070
0.965930 0.039934
0.976009 0.031507
0.985986 0.023028
0.993311 0.011898
1.000000 0.000170
