182   NumCoords   ! The number of coordinates in the airfoil shape file.  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.250000 0.000000
! coordinates of airfoil shape
! interpolation to N points
!  x/c        y/c
1.000000 -0.003074
0.988628 -0.000396
0.977201 0.002047
0.965721 0.004232
0.954188 0.006134
0.942607 0.007719
0.930983 0.008955
0.919325 0.009822
0.907644 0.010292
0.895955 0.010339
0.884272 0.009971
0.872607 0.009247
0.860965 0.008226
0.849348 0.006958
0.837755 0.005481
0.826187 0.003817
0.814643 0.001998
0.803118 0.000050
0.791614 -0.002020
0.780137 -0.004237
0.768696 -0.006632
0.757297 -0.009227
0.745949 -0.012029
0.734645 -0.015008
0.723378 -0.018128
0.712140 -0.021345
0.700918 -0.024622
0.689704 -0.027929
0.678492 -0.031239
0.667273 -0.034526
0.656039 -0.037762
0.644785 -0.040929
0.633508 -0.044010
0.622203 -0.046987
0.610867 -0.049844
0.599508 -0.052603
0.588137 -0.055315
0.576767 -0.058030
0.565410 -0.060801
0.554072 -0.063651
0.542748 -0.066558
0.531434 -0.069502
0.520124 -0.072461
0.508812 -0.075414
0.497496 -0.078348
0.486170 -0.081249
0.474833 -0.084102
0.463481 -0.086893
0.452110 -0.089606
0.440717 -0.092227
0.429301 -0.094740
0.417858 -0.097130
0.406387 -0.099380
0.394886 -0.101477
0.383358 -0.103412
0.371801 -0.105171
0.360217 -0.106738
0.348605 -0.108087
0.336969 -0.109207
0.325312 -0.110080
0.313638 -0.110688
0.301952 -0.111013
0.290262 -0.111029
0.278575 -0.110731
0.266901 -0.110117
0.255245 -0.109213
0.243613 -0.108045
0.232007 -0.106642
0.220427 -0.105038
0.208873 -0.103255
0.197344 -0.101315
0.185840 -0.099233
0.174358 -0.097030
0.162902 -0.094699
0.151478 -0.092219
0.140091 -0.089570
0.128752 -0.086724
0.117482 -0.083617
0.106320 -0.080146
0.095321 -0.076197
0.084562 -0.071642
0.074070 -0.066509
0.063770 -0.060999
0.053570 -0.055302
0.043375 -0.049586
0.033223 -0.043790
0.023428 -0.037414
0.014558 -0.029831
0.007728 -0.020432
0.004389 -0.009333
0.004573 0.002314
0.007312 0.013654
0.011898 0.024377
0.018047 0.034290
0.025484 0.043287
0.033874 0.051415
0.042909 0.058825
0.052350 0.065711
0.062106 0.072138
0.072172 0.078067
0.082539 0.083455
0.093196 0.088247
0.104099 0.092456
0.115177 0.096183
0.126381 0.099521
0.137669 0.102560
0.149018 0.105366
0.160413 0.107981
0.171841 0.110443
0.183295 0.112785
0.194769 0.115027
0.206266 0.117146
0.217789 0.119118
0.229341 0.120917
0.240921 0.122521
0.252528 0.123914
0.264160 0.125087
0.275811 0.126041
0.287479 0.126770
0.299159 0.127270
0.310847 0.127533
0.322538 0.127560
0.334227 0.127355
0.345910 0.126928
0.357584 0.126306
0.369247 0.125507
0.380900 0.124563
0.392542 0.123493
0.404172 0.122300
0.415789 0.120986
0.427392 0.119554
0.438981 0.118014
0.450556 0.116377
0.462120 0.114657
0.473673 0.112866
0.485217 0.111017
0.496752 0.109117
0.508280 0.107171
0.519801 0.105184
0.531316 0.103161
0.542827 0.101119
0.554339 0.099082
0.565856 0.097070
0.577380 0.095105
0.588909 0.093167
0.600435 0.091206
0.611947 0.089172
0.623437 0.087016
0.634899 0.084714
0.646335 0.082288
0.657748 0.079764
0.669145 0.077162
0.680527 0.074502
0.691898 0.071794
0.703261 0.069052
0.714618 0.066286
0.725972 0.063510
0.737331 0.060751
0.748702 0.058037
0.760090 0.055397
0.771501 0.052856
0.782936 0.050421
0.794394 0.048101
0.805875 0.045898
0.817377 0.043809
0.828894 0.041809
0.840419 0.039853
0.851943 0.037894
0.863459 0.035888
0.874961 0.033805
0.886447 0.031630
0.897913 0.029348
0.909353 0.026943
0.920767 0.024412
0.932155 0.021767
0.943517 0.019016
0.954855 0.016168
0.966170 0.013236
0.977464 0.010230
0.988740 0.007161
1.000000 0.004040
