182   NumCoords   ! The number of coordinates in the airfoil shape file.  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.250000 0.000000
! coordinates of airfoil shape
! interpolation to N points
!  x/c        y/c
1.000000 -0.009045
0.988190 -0.006740
0.976375 -0.004458
0.964459 -0.002795
0.952525 -0.001243
0.940524 -0.000442
0.928506 0.000162
0.916476 0.000345
0.904442 0.000353
0.892421 -0.000091
0.880409 -0.000813
0.868424 -0.001852
0.856459 -0.003140
0.844531 -0.004705
0.832639 -0.006547
0.820786 -0.008607
0.808980 -0.010940
0.797218 -0.013470
0.785516 -0.016273
0.773858 -0.019249
0.762270 -0.022492
0.750720 -0.025867
0.739231 -0.029445
0.727780 -0.033141
0.716382 -0.037002
0.705021 -0.040966
0.693703 -0.045055
0.682418 -0.049231
0.671162 -0.053487
0.659929 -0.057803
0.648712 -0.062161
0.637508 -0.066552
0.626309 -0.070957
0.615111 -0.075362
0.603911 -0.079764
0.592691 -0.084115
0.581463 -0.088443
0.570207 -0.092700
0.558929 -0.096896
0.547624 -0.101022
0.536276 -0.105026
0.524910 -0.108977
0.513482 -0.112748
0.502029 -0.116439
0.490532 -0.119994
0.478984 -0.123376
0.467406 -0.126658
0.455769 -0.129723
0.444094 -0.132636
0.432387 -0.135419
0.420622 -0.137950
0.408825 -0.140322
0.396997 -0.142538
0.385124 -0.144496
0.373221 -0.146264
0.361293 -0.147850
0.349338 -0.149225
0.337353 -0.150309
0.325352 -0.151182
0.313337 -0.151837
0.301311 -0.152260
0.289278 -0.152434
0.277245 -0.152319
0.265218 -0.151927
0.253216 -0.151091
0.241247 -0.149861
0.229305 -0.148384
0.217386 -0.146724
0.205498 -0.144860
0.193648 -0.142766
0.181846 -0.140419
0.170102 -0.137800
0.158429 -0.134880
0.146887 -0.131481
0.135507 -0.127573
0.124258 -0.123300
0.113180 -0.118603
0.102270 -0.113528
0.091574 -0.108016
0.081099 -0.102099
0.070879 -0.095750
0.060956 -0.088948
0.051369 -0.081682
0.042175 -0.073927
0.033436 -0.065665
0.025249 -0.056859
0.017761 -0.047453
0.011156 -0.037410
0.005740 -0.026684
0.001859 -0.015311
0.000254 -0.003402
0.000660 0.008597
0.003041 0.020368
0.007209 0.031641
0.012746 0.042310
0.019356 0.052352
0.026856 0.061750
0.035068 0.070533
0.043873 0.078724
0.053153 0.086375
0.062862 0.093475
0.072926 0.100065
0.083299 0.106157
0.093942 0.111766
0.104807 0.116932
0.115885 0.121626
0.127127 0.125915
0.138530 0.129754
0.150053 0.133218
0.161710 0.136197
0.173488 0.138659
0.185326 0.140817
0.197213 0.142689
0.209139 0.144293
0.221095 0.145647
0.233076 0.146773
0.245074 0.147690
0.257086 0.148414
0.269107 0.148951
0.281136 0.149307
0.293167 0.149501
0.305198 0.149260
0.317223 0.148805
0.329242 0.148197
0.341252 0.147448
0.353253 0.146569
0.365242 0.145530
0.377218 0.144357
0.389184 0.143078
0.401138 0.141699
0.413073 0.140162
0.424998 0.138544
0.436911 0.136851
0.448807 0.135036
0.460692 0.133150
0.472568 0.131204
0.484423 0.129143
0.496270 0.127031
0.508107 0.124861
0.519928 0.122607
0.531742 0.120321
0.543544 0.117972
0.555338 0.115579
0.567123 0.113149
0.578896 0.110654
0.590664 0.108139
0.602419 0.105564
0.614169 0.102966
0.625909 0.100326
0.637643 0.097655
0.649370 0.094958
0.661089 0.092222
0.672804 0.089469
0.684509 0.086675
0.696212 0.083873
0.707905 0.081031
0.719597 0.078184
0.731281 0.075302
0.742963 0.072415
0.754640 0.069508
0.766317 0.066596
0.777990 0.063671
0.789662 0.060744
0.801333 0.057812
0.813004 0.054878
0.824673 0.051937
0.836342 0.048999
0.848014 0.046068
0.859687 0.043143
0.871364 0.040234
0.883042 0.037333
0.894726 0.034452
0.906413 0.031581
0.918108 0.028748
0.929805 0.025919
0.941503 0.023097
0.953201 0.020275
0.964900 0.017457
0.976600 0.014638
0.988300 0.011825
1.000000 0.009011
