182   NumCoords   ! The number of coordinates in the airfoil shape file.  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.250000 0.000000
! coordinates of airfoil shape
! interpolation to N points
!  x/c        y/c
1.000000 -0.004770
0.988522 -0.002114
0.977001 0.000360
0.965410 0.002464
0.953776 0.004327
0.942085 0.005739
0.930355 0.006830
0.918596 0.007523
0.906818 0.007864
0.895038 0.007753
0.883264 0.007251
0.871513 0.006392
0.859785 0.005240
0.848085 0.003831
0.836415 0.002195
0.824775 0.000365
0.813164 -0.001647
0.801579 -0.003799
0.790026 -0.006106
0.778503 -0.008559
0.767025 -0.011210
0.755588 -0.014039
0.744205 -0.017076
0.732865 -0.020272
0.721567 -0.023614
0.710298 -0.027051
0.699053 -0.030560
0.687820 -0.034110
0.676595 -0.037678
0.665368 -0.041238
0.654134 -0.044765
0.642886 -0.048244
0.631621 -0.051657
0.620334 -0.054987
0.609022 -0.058221
0.597687 -0.061366
0.586341 -0.064470
0.574989 -0.067561
0.563643 -0.070684
0.552306 -0.073854
0.540970 -0.077042
0.529638 -0.080250
0.518293 -0.083426
0.506943 -0.086583
0.495578 -0.089693
0.484195 -0.092737
0.472796 -0.095724
0.461370 -0.098610
0.449921 -0.101400
0.438447 -0.104092
0.426941 -0.106638
0.415407 -0.109053
0.403843 -0.111325
0.392246 -0.113417
0.380620 -0.115339
0.368966 -0.117086
0.357285 -0.118637
0.345574 -0.119949
0.333841 -0.121035
0.322088 -0.121879
0.310318 -0.122465
0.298538 -0.122773
0.286754 -0.122773
0.274973 -0.122462
0.263209 -0.121793
0.251468 -0.120800
0.239751 -0.119545
0.228059 -0.118069
0.216395 -0.116391
0.204760 -0.114523
0.193156 -0.112475
0.181584 -0.110254
0.170047 -0.107867
0.158564 -0.105258
0.147147 -0.102402
0.135792 -0.099324
0.124520 -0.095984
0.113344 -0.092345
0.102308 -0.088307
0.091456 -0.083793
0.080858 -0.078698
0.070543 -0.073041
0.060461 -0.066986
0.050548 -0.060678
0.040745 -0.054253
0.031101 -0.047655
0.021902 -0.040475
0.013639 -0.032210
0.007250 -0.022389
0.003902 -0.011152
0.003677 0.000575
0.005725 0.012116
0.009627 0.023175
0.015183 0.033510
0.022077 0.043002
0.029975 0.051676
0.038591 0.059647
0.047690 0.067079
0.057174 0.074028
0.067011 0.080473
0.077185 0.086373
0.087673 0.091692
0.098431 0.096436
0.109393 0.100684
0.120509 0.104517
0.131747 0.107996
0.143072 0.111193
0.154474 0.114129
0.165932 0.116854
0.177444 0.119364
0.189001 0.121665
0.200591 0.123800
0.212212 0.125755
0.223864 0.127514
0.235545 0.129064
0.247253 0.130399
0.258984 0.131517
0.270733 0.132422
0.282497 0.133112
0.294272 0.133586
0.306053 0.133841
0.317837 0.133802
0.329618 0.133531
0.341393 0.133055
0.353159 0.132397
0.364915 0.131576
0.376660 0.130606
0.388394 0.129510
0.400116 0.128296
0.411826 0.126969
0.423520 0.125512
0.435201 0.123954
0.446870 0.122306
0.458526 0.120564
0.470170 0.118751
0.481805 0.116880
0.493430 0.114941
0.505046 0.112954
0.516654 0.110922
0.528253 0.108841
0.539849 0.106738
0.551442 0.104623
0.563036 0.102517
0.574634 0.100437
0.586233 0.098362
0.597827 0.096261
0.609407 0.094085
0.620968 0.091804
0.632503 0.089394
0.644016 0.086877
0.655510 0.084275
0.666987 0.081600
0.678453 0.078876
0.689907 0.076103
0.701354 0.073302
0.712794 0.070472
0.724232 0.067637
0.735672 0.064807
0.747122 0.062016
0.758585 0.059281
0.770066 0.056626
0.781566 0.054057
0.793086 0.051584
0.804624 0.049205
0.816180 0.046922
0.827748 0.044710
0.839322 0.042536
0.850897 0.040363
0.862466 0.038155
0.874026 0.035890
0.885573 0.033554
0.897104 0.031136
0.908616 0.028620
0.920108 0.026013
0.931579 0.023310
0.943029 0.020521
0.954458 0.017650
0.965868 0.014705
0.977261 0.011694
0.988638 0.008627
1.000000 0.005508
