182   NumCoords   ! The number of coordinates in the airfoil shape file.  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.354687 0.000000
! coordinates of airfoil shape
! interpolation to N points
!  x/c        y/c
1.000000 0.000112
0.993514 -0.011670
0.986373 -0.022405
0.978224 -0.031403
0.969857 -0.040536
0.961317 -0.050001
0.952546 -0.059537
0.943698 -0.069461
0.934638 -0.079378
0.925488 -0.089566
0.916068 -0.099680
0.906516 -0.109943
0.896742 -0.120115
0.886844 -0.130376
0.876732 -0.140534
0.866396 -0.150631
0.855843 -0.160604
0.845156 -0.170572
0.834278 -0.180418
0.823208 -0.190131
0.811902 -0.199660
0.800400 -0.209025
0.788720 -0.218228
0.776849 -0.227232
0.764806 -0.236060
0.752531 -0.244593
0.740066 -0.252897
0.727403 -0.260918
0.714588 -0.268725
0.701577 -0.276215
0.688416 -0.283459
0.675064 -0.290358
0.661549 -0.296942
0.647878 -0.303198
0.634066 -0.309134
0.620127 -0.314761
0.606053 -0.320033
0.591880 -0.325015
0.577561 -0.329556
0.563159 -0.333791
0.548636 -0.337565
0.534047 -0.341024
0.519398 -0.344154
0.504651 -0.346756
0.489863 -0.349030
0.475035 -0.350926
0.460162 -0.352358
0.445269 -0.353409
0.430354 -0.353985
0.415448 -0.354153
0.400562 -0.353949
0.385693 -0.353260
0.370864 -0.352109
0.356085 -0.350565
0.341373 -0.348636
0.326738 -0.346157
0.312195 -0.343267
0.297755 -0.339979
0.283429 -0.336274
0.269236 -0.332113
0.255197 -0.327466
0.241318 -0.322381
0.227606 -0.316893
0.214094 -0.310971
0.200790 -0.304601
0.187710 -0.297786
0.174861 -0.290556
0.162282 -0.282843
0.149978 -0.274727
0.137986 -0.266132
0.126294 -0.257129
0.114959 -0.247664
0.103986 -0.237777
0.093421 -0.227419
0.083294 -0.216613
0.073624 -0.205367
0.064447 -0.193689
0.055789 -0.181594
0.047649 -0.169125
0.040045 -0.156303
0.033095 -0.143084
0.026747 -0.129546
0.021104 -0.115673
0.016057 -0.101563
0.011642 -0.087229
0.007943 -0.072682
0.005028 -0.057944
0.002855 -0.043072
0.001293 -0.028121
0.000357 -0.013117
0.000073 0.001908
0.000791 0.016920
0.002000 0.031899
0.003718 0.046829
0.006049 0.061671
0.009231 0.076341
0.013171 0.090809
0.017747 0.105078
0.022893 0.119143
0.028691 0.132935
0.035135 0.146417
0.042131 0.159606
0.049741 0.172423
0.057865 0.184907
0.066505 0.197016
0.075685 0.208694
0.085365 0.219924
0.095480 0.230753
0.106065 0.241078
0.117018 0.250994
0.128370 0.260437
0.140063 0.269431
0.152070 0.277984
0.164398 0.286070
0.177005 0.293693
0.189883 0.300821
0.203007 0.307469
0.216365 0.313645
0.229928 0.319371
0.243674 0.324652
0.257588 0.329495
0.271655 0.333911
0.285865 0.337874
0.300200 0.341405
0.314646 0.344488
0.329195 0.347136
0.343833 0.349383
0.358546 0.351259
0.373316 0.352653
0.388136 0.353658
0.403004 0.354314
0.417892 0.354555
0.432804 0.354411
0.447722 0.353906
0.462634 0.352919
0.477538 0.351673
0.492422 0.350004
0.507272 0.348010
0.522084 0.345635
0.536837 0.342884
0.551533 0.339792
0.566154 0.336337
0.580700 0.332558
0.595173 0.328494
0.609535 0.324049
0.623813 0.319341
0.637972 0.314294
0.652016 0.308953
0.665928 0.303302
0.679694 0.297333
0.693318 0.291073
0.706796 0.284543
0.720136 0.277781
0.733284 0.270679
0.746265 0.263333
0.759041 0.255689
0.771653 0.247851
0.784060 0.239734
0.796294 0.231436
0.808310 0.222869
0.820119 0.214107
0.831658 0.205051
0.843000 0.195837
0.854115 0.186421
0.865027 0.176861
0.875698 0.167095
0.886087 0.157157
0.896199 0.146985
0.906094 0.136706
0.915746 0.126283
0.925172 0.115765
0.934264 0.105060
0.943122 0.094281
0.951710 0.083370
0.960061 0.072398
0.968094 0.061233
0.975830 0.050004
0.983202 0.038556
0.990292 0.027052
0.995433 0.013783
1.000000 0.000112
