182   NumCoords   ! The number of coordinates in the airfoil shape file.  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.250000 0.000000
! coordinates of airfoil shape
! interpolation to N points
!  x/c        y/c
1.000000 -0.000504
0.988179 -0.003684
0.976068 -0.006218
0.963477 -0.007665
0.950912 -0.009211
0.938408 -0.010972
0.925929 -0.012805
0.913543 -0.014869
0.901170 -0.016947
0.888907 -0.019550
0.876661 -0.022347
0.864522 -0.025564
0.852412 -0.028996
0.840402 -0.032751
0.828433 -0.036721
0.816527 -0.040888
0.804668 -0.045245
0.792884 -0.049791
0.781153 -0.054514
0.769455 -0.059334
0.757806 -0.064306
0.746187 -0.069360
0.734616 -0.074547
0.723056 -0.079773
0.711532 -0.085092
0.699992 -0.090394
0.688474 -0.095754
0.676939 -0.101089
0.665412 -0.106443
0.653853 -0.111738
0.642286 -0.117019
0.630677 -0.122214
0.619049 -0.127367
0.607375 -0.132419
0.595673 -0.137406
0.583921 -0.142274
0.572130 -0.147049
0.560301 -0.151728
0.548406 -0.156234
0.536476 -0.160646
0.524474 -0.164857
0.512443 -0.168981
0.500351 -0.172926
0.488199 -0.176664
0.476001 -0.180254
0.463747 -0.183646
0.451446 -0.186844
0.439084 -0.189803
0.426669 -0.192507
0.414217 -0.195033
0.401709 -0.197285
0.389163 -0.199273
0.376584 -0.201018
0.363968 -0.202482
0.351327 -0.203717
0.338667 -0.204627
0.325993 -0.205289
0.313305 -0.205638
0.300614 -0.205725
0.287929 -0.205509
0.275260 -0.204962
0.262611 -0.204115
0.249989 -0.202917
0.237402 -0.201405
0.224866 -0.199549
0.212392 -0.197338
0.199987 -0.194781
0.187678 -0.191826
0.175459 -0.188527
0.163368 -0.184812
0.151405 -0.180717
0.139602 -0.176206
0.127971 -0.171274
0.116571 -0.165857
0.105407 -0.159987
0.094513 -0.153650
0.083952 -0.146783
0.073736 -0.139426
0.063932 -0.131520
0.054573 -0.123087
0.045765 -0.114083
0.037534 -0.104543
0.029973 -0.094459
0.023084 -0.083880
0.017017 -0.072781
0.011811 -0.061240
0.007505 -0.049330
0.004224 -0.037080
0.002094 -0.024553
0.000677 -0.011918
0.000073 0.000780
0.000949 0.013465
0.002527 0.026086
0.004451 0.038657
0.007451 0.051002
0.011633 0.062992
0.016672 0.074649
0.022459 0.085942
0.028986 0.096808
0.036221 0.107206
0.044118 0.117105
0.052601 0.126489
0.061659 0.135315
0.071190 0.143613
0.081178 0.151345
0.091571 0.158524
0.102350 0.165112
0.113408 0.171218
0.124778 0.176741
0.136365 0.181785
0.148155 0.186348
0.160123 0.190431
0.172240 0.194058
0.184482 0.197248
0.196833 0.200003
0.209281 0.202323
0.221803 0.204247
0.234380 0.205810
0.246999 0.207034
0.259648 0.207946
0.272321 0.208564
0.285008 0.208902
0.297705 0.208961
0.310402 0.208731
0.323095 0.208247
0.335782 0.207537
0.348459 0.206631
0.361120 0.205524
0.373761 0.204174
0.386385 0.202655
0.398992 0.200994
0.411570 0.199117
0.424130 0.197116
0.436666 0.194967
0.449169 0.192627
0.461656 0.190197
0.474117 0.187639
0.486547 0.184936
0.498961 0.182162
0.511340 0.179234
0.523699 0.176227
0.536032 0.173113
0.548338 0.169904
0.560635 0.166656
0.572893 0.163274
0.585142 0.159859
0.597363 0.156352
0.609569 0.152797
0.621757 0.149184
0.633916 0.145486
0.646058 0.141736
0.658180 0.137928
0.670295 0.134102
0.682371 0.130168
0.694438 0.126214
0.706481 0.122193
0.718520 0.118164
0.730530 0.114061
0.742536 0.109949
0.754512 0.105767
0.766482 0.101572
0.778418 0.097299
0.790350 0.093019
0.802262 0.088695
0.814171 0.084364
0.826054 0.079983
0.837934 0.075593
0.849773 0.071127
0.861612 0.066660
0.873437 0.062169
0.885261 0.057678
0.897058 0.053139
0.908856 0.048606
0.920635 0.044046
0.932412 0.039481
0.944133 0.034813
0.955849 0.030136
0.967489 0.025332
0.979117 0.020509
0.989678 0.014582
1.000000 0.008409
