182   NumCoords   ! The number of coordinates in the airfoil shape file.  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.250000 0.000000
! coordinates of airfoil shape
! interpolation to N points
!  x/c        y/c
1.000000 -0.005242
0.988484 -0.002631
0.976930 -0.000181
0.965302 0.001867
0.953634 0.003695
0.941908 0.005035
0.930146 0.006069
0.918357 0.006702
0.906551 0.007006
0.894744 0.006857
0.882944 0.006331
0.871166 0.005453
0.859412 0.004287
0.847687 0.002862
0.835992 0.001205
0.824328 -0.000649
0.812695 -0.002696
0.801091 -0.004888
0.789521 -0.007251
0.777983 -0.009762
0.766492 -0.012479
0.755044 -0.015369
0.743649 -0.018466
0.732296 -0.021718
0.720987 -0.025117
0.709708 -0.028612
0.698455 -0.032187
0.687216 -0.035807
0.675988 -0.039453
0.664762 -0.043099
0.653530 -0.046721
0.642288 -0.050304
0.631031 -0.053831
0.619755 -0.057284
0.608457 -0.060653
0.597136 -0.063936
0.585805 -0.067181
0.574465 -0.070406
0.563128 -0.073652
0.551796 -0.076933
0.540460 -0.080214
0.529125 -0.083508
0.517772 -0.086752
0.506410 -0.089969
0.495032 -0.093130
0.483630 -0.096212
0.472211 -0.099232
0.460762 -0.102138
0.449287 -0.104942
0.437788 -0.107643
0.426253 -0.110187
0.414689 -0.112596
0.403096 -0.114860
0.391468 -0.116935
0.379811 -0.118839
0.368127 -0.120567
0.356415 -0.122098
0.344674 -0.123384
0.332911 -0.124445
0.321129 -0.125267
0.309331 -0.125835
0.297523 -0.126128
0.285711 -0.126114
0.273903 -0.125795
0.262113 -0.125105
0.250346 -0.124083
0.238605 -0.122801
0.226888 -0.121303
0.215199 -0.119605
0.203540 -0.117712
0.191914 -0.115632
0.180323 -0.113367
0.168771 -0.110921
0.157281 -0.108224
0.145869 -0.105247
0.134528 -0.102033
0.123278 -0.098537
0.112133 -0.094734
0.101137 -0.090529
0.090327 -0.085856
0.079771 -0.080621
0.069499 -0.074837
0.059470 -0.068647
0.049636 -0.062179
0.039950 -0.055548
0.030466 -0.048703
0.021457 -0.041272
0.013377 -0.032808
0.007089 -0.022888
0.003668 -0.011639
0.003280 0.000107
0.005136 0.011700
0.008864 0.022839
0.014268 0.033279
0.021015 0.042902
0.028772 0.051728
0.037267 0.059857
0.046271 0.067438
0.055683 0.074523
0.065461 0.081100
0.075586 0.087132
0.086029 0.092590
0.096744 0.097484
0.107672 0.101884
0.118760 0.105867
0.129980 0.109482
0.141296 0.112801
0.152698 0.115839
0.164163 0.118646
0.175691 0.121207
0.187274 0.123523
0.198891 0.125657
0.210542 0.127600
0.222225 0.129340
0.233937 0.130866
0.245675 0.132176
0.257436 0.133271
0.269214 0.134157
0.281006 0.134831
0.292809 0.135293
0.304619 0.135544
0.316430 0.135482
0.328238 0.135191
0.340040 0.134699
0.351833 0.134031
0.363616 0.133204
0.375388 0.132228
0.387149 0.131124
0.398898 0.129905
0.410635 0.128574
0.422356 0.127109
0.434065 0.125546
0.445761 0.123896
0.457444 0.122148
0.469115 0.120328
0.480777 0.118451
0.492427 0.116499
0.504069 0.114500
0.515703 0.112454
0.527327 0.110354
0.538947 0.108232
0.550563 0.106092
0.562179 0.103955
0.573799 0.101836
0.585416 0.099713
0.597030 0.097567
0.608629 0.095346
0.620211 0.093030
0.631769 0.090595
0.643307 0.088062
0.654827 0.085450
0.666331 0.082771
0.677825 0.080044
0.689307 0.077271
0.700783 0.074471
0.712251 0.071642
0.723718 0.068807
0.735185 0.065973
0.746661 0.063172
0.758148 0.060418
0.769651 0.057735
0.781170 0.055127
0.792706 0.052602
0.804259 0.050161
0.815827 0.047803
0.827406 0.045507
0.838990 0.043246
0.850575 0.040987
0.862156 0.038697
0.873728 0.036359
0.885289 0.033958
0.896837 0.031488
0.908368 0.028932
0.919883 0.026301
0.931379 0.023585
0.942857 0.020793
0.954316 0.017929
0.965759 0.015000
0.977186 0.012014
0.988600 0.008977
1.000000 0.005895
