182   NumCoords   ! The number of coordinates in the airfoil shape file.  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.250000 0.000000
! coordinates of airfoil shape
! interpolation to N points
!  x/c        y/c
1.000000 -0.006186
0.988407 -0.003666
0.976787 -0.001265
0.965085 0.000674
0.953351 0.002432
0.941555 0.003626
0.929729 0.004546
0.917879 0.005061
0.906017 0.005291
0.894156 0.005065
0.882304 0.004491
0.870474 0.003574
0.858667 0.002381
0.846891 0.000925
0.835146 -0.000775
0.823434 -0.002677
0.811758 -0.004793
0.800114 -0.007067
0.788510 -0.009540
0.776943 -0.012168
0.765428 -0.015017
0.753954 -0.018028
0.742536 -0.021246
0.731158 -0.024608
0.719827 -0.028123
0.708528 -0.031736
0.697259 -0.035441
0.686009 -0.039202
0.674775 -0.043003
0.663548 -0.046821
0.652322 -0.050632
0.641092 -0.054424
0.629852 -0.058178
0.618598 -0.061878
0.607328 -0.065515
0.596036 -0.069076
0.584734 -0.072603
0.573418 -0.076096
0.562099 -0.079589
0.550776 -0.083090
0.539439 -0.086559
0.528098 -0.090023
0.516728 -0.093403
0.505345 -0.096742
0.493938 -0.100005
0.482500 -0.103163
0.471042 -0.106250
0.459546 -0.109195
0.448021 -0.112024
0.436470 -0.114746
0.424877 -0.117283
0.413255 -0.119680
0.401602 -0.121929
0.389913 -0.123971
0.378194 -0.125838
0.366449 -0.127528
0.354676 -0.129019
0.342874 -0.130253
0.331052 -0.131266
0.319211 -0.132044
0.307356 -0.132574
0.295492 -0.132837
0.283625 -0.132797
0.271763 -0.132459
0.259920 -0.131729
0.248104 -0.130649
0.236313 -0.129313
0.224546 -0.127773
0.212808 -0.126033
0.201101 -0.124090
0.189431 -0.121945
0.177801 -0.119593
0.166218 -0.117030
0.154716 -0.114155
0.143314 -0.110937
0.131998 -0.107450
0.120795 -0.103643
0.109711 -0.099513
0.098793 -0.094972
0.088069 -0.089982
0.077597 -0.084466
0.067410 -0.078428
0.057489 -0.071971
0.047811 -0.065181
0.038359 -0.058140
0.029198 -0.050797
0.020567 -0.042866
0.012851 -0.034003
0.006766 -0.023885
0.003199 -0.012614
0.002485 -0.000829
0.003957 0.010867
0.007338 0.022168
0.012440 0.032817
0.018891 0.042702
0.026367 0.051833
0.034619 0.060278
0.043433 0.068157
0.052701 0.075513
0.062361 0.082354
0.072388 0.088648
0.082739 0.094387
0.093372 0.099580
0.104229 0.104283
0.115261 0.108565
0.126446 0.112453
0.137743 0.116018
0.149145 0.119258
0.160624 0.122231
0.172185 0.124894
0.183818 0.127239
0.195492 0.129372
0.207203 0.131290
0.218947 0.132991
0.230720 0.134470
0.242519 0.135731
0.254339 0.136780
0.266176 0.137626
0.278025 0.138268
0.289884 0.138707
0.301749 0.138949
0.313615 0.138843
0.325477 0.138509
0.337333 0.137987
0.349180 0.137300
0.361018 0.136461
0.372844 0.135471
0.384658 0.134352
0.396462 0.133121
0.408254 0.131782
0.420029 0.130303
0.431791 0.128731
0.443543 0.127075
0.455279 0.125315
0.467004 0.123483
0.478720 0.121592
0.490422 0.119616
0.502116 0.117592
0.513800 0.115518
0.525474 0.113381
0.537143 0.111221
0.548806 0.109030
0.560466 0.106830
0.572127 0.104634
0.583783 0.102417
0.595435 0.100178
0.607073 0.097868
0.618697 0.095482
0.630301 0.092997
0.641888 0.090432
0.653460 0.087802
0.665019 0.085111
0.676568 0.082382
0.688107 0.079607
0.699640 0.076811
0.711166 0.073982
0.722690 0.071147
0.734212 0.068304
0.745739 0.065484
0.757274 0.062693
0.768820 0.059954
0.780377 0.057265
0.791947 0.054638
0.803529 0.052071
0.815122 0.049565
0.826722 0.047103
0.838326 0.044667
0.849932 0.042234
0.861534 0.039780
0.873131 0.037295
0.884721 0.034766
0.896303 0.032192
0.907872 0.029557
0.919432 0.026876
0.930979 0.024134
0.942512 0.021337
0.954032 0.018487
0.965540 0.015591
0.977036 0.012652
0.988523 0.009678
1.000000 0.006671
