182   NumCoords   ! The number of coordinates in the airfoil shape file.  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.250000 0.000000
! coordinates of airfoil shape
! interpolation to N points
!  x/c        y/c
1.000000 -0.008546
0.988216 -0.006253
0.976429 -0.003973
0.964543 -0.002310
0.952642 -0.000727
0.940673 0.000104
0.928685 0.000739
0.916686 0.000959
0.904681 0.001002
0.892688 0.000584
0.880702 -0.000110
0.868743 -0.001122
0.856804 -0.002385
0.844900 -0.003919
0.833031 -0.005725
0.821200 -0.007748
0.809415 -0.010037
0.797671 -0.012516
0.785985 -0.015264
0.774342 -0.018181
0.762766 -0.021362
0.751230 -0.024676
0.739753 -0.028197
0.728313 -0.031835
0.716927 -0.035639
0.705577 -0.039545
0.694269 -0.043576
0.682991 -0.047688
0.671742 -0.051878
0.660515 -0.056126
0.649302 -0.060409
0.638101 -0.064722
0.626905 -0.069045
0.615706 -0.073361
0.604506 -0.077670
0.593285 -0.081925
0.582056 -0.086157
0.570801 -0.090321
0.559526 -0.094432
0.548227 -0.098483
0.536888 -0.102420
0.525533 -0.106311
0.514119 -0.110030
0.502681 -0.113675
0.491203 -0.117190
0.479675 -0.120540
0.468119 -0.123794
0.456506 -0.126836
0.444855 -0.129731
0.433174 -0.132502
0.421437 -0.135025
0.409668 -0.137391
0.397868 -0.139602
0.386023 -0.141561
0.374150 -0.143335
0.362253 -0.144932
0.350328 -0.146323
0.338374 -0.147427
0.326402 -0.148318
0.314417 -0.148986
0.302420 -0.149423
0.290416 -0.149610
0.278411 -0.149505
0.266412 -0.149121
0.254438 -0.148290
0.242497 -0.147064
0.230583 -0.145594
0.218691 -0.143947
0.206829 -0.142101
0.195003 -0.140034
0.183222 -0.137727
0.171496 -0.135159
0.159836 -0.132302
0.148303 -0.128982
0.136926 -0.125162
0.125674 -0.120993
0.114586 -0.116409
0.103657 -0.111460
0.092935 -0.106080
0.082424 -0.100296
0.072161 -0.094079
0.062189 -0.087406
0.052536 -0.080279
0.043250 -0.072685
0.034383 -0.064617
0.026027 -0.056034
0.018342 -0.046850
0.011537 -0.036991
0.005958 -0.026379
0.002029 -0.015052
0.000499 -0.003169
0.001011 0.008786
0.003523 0.020491
0.007868 0.031662
0.013581 0.042201
0.020352 0.052095
0.027999 0.061331
0.036338 0.069953
0.045246 0.077988
0.054611 0.085488
0.064391 0.092440
0.074516 0.098879
0.084940 0.104821
0.095622 0.110282
0.106515 0.115312
0.117610 0.119881
0.128860 0.124060
0.140263 0.127805
0.151778 0.131193
0.163421 0.134110
0.175180 0.136529
0.186994 0.138659
0.198855 0.140516
0.210752 0.142119
0.222679 0.143480
0.234630 0.144619
0.246599 0.145553
0.258580 0.146300
0.270572 0.146861
0.282571 0.147243
0.294574 0.147463
0.306578 0.147244
0.318575 0.146806
0.330565 0.146208
0.342547 0.145470
0.354521 0.144603
0.366483 0.143578
0.378433 0.142423
0.390372 0.141163
0.402300 0.139805
0.414209 0.138289
0.426108 0.136694
0.437997 0.135024
0.449868 0.133233
0.461728 0.131369
0.473578 0.129446
0.485410 0.127408
0.497232 0.125321
0.509044 0.123176
0.520842 0.120949
0.532633 0.118692
0.544412 0.116375
0.556184 0.114018
0.567949 0.111627
0.579701 0.109176
0.591449 0.106705
0.603184 0.104172
0.614913 0.101612
0.626631 0.099002
0.638341 0.096356
0.650045 0.093680
0.661738 0.090963
0.673428 0.088226
0.685107 0.085447
0.696784 0.082659
0.708452 0.079830
0.720119 0.076998
0.731777 0.074131
0.743435 0.071264
0.755089 0.068381
0.766744 0.065500
0.778396 0.062612
0.790050 0.059729
0.801703 0.056847
0.813358 0.053970
0.825011 0.051092
0.836666 0.048219
0.848322 0.045352
0.859979 0.042489
0.871640 0.039638
0.883301 0.036787
0.894966 0.033951
0.906632 0.031117
0.918306 0.028315
0.929978 0.025506
0.941651 0.022697
0.953322 0.019883
0.964992 0.017068
0.976662 0.014249
0.988331 0.011431
1.000000 0.008609
