182   NumCoords   ! The number of coordinates in the airfoil shape file.  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.250000 0.000000
! coordinates of airfoil shape
! interpolation to N points
!  x/c        y/c
1.000000 -0.000721
0.987872 -0.002489
0.975613 -0.003966
0.963137 -0.004941
0.950674 -0.005960
0.938236 -0.007063
0.925811 -0.008196
0.913425 -0.009395
0.901045 -0.010587
0.888733 -0.012287
0.876440 -0.014234
0.864226 -0.016601
0.852050 -0.019252
0.839952 -0.022226
0.827910 -0.025482
0.815926 -0.028954
0.804003 -0.032673
0.792142 -0.036574
0.780346 -0.040701
0.768591 -0.044952
0.756901 -0.049403
0.745249 -0.053960
0.733660 -0.058689
0.722096 -0.063489
0.710579 -0.068410
0.699071 -0.073364
0.687595 -0.078398
0.676122 -0.083445
0.664663 -0.088528
0.653195 -0.093594
0.641726 -0.098661
0.630235 -0.103682
0.618734 -0.108681
0.607199 -0.113602
0.595648 -0.118488
0.584051 -0.123261
0.572430 -0.127977
0.560768 -0.132592
0.549061 -0.137087
0.537318 -0.141491
0.525515 -0.145728
0.513688 -0.149895
0.501794 -0.153870
0.489858 -0.157707
0.477875 -0.161397
0.465837 -0.164900
0.453760 -0.168258
0.441619 -0.171378
0.429428 -0.174284
0.417200 -0.177029
0.404907 -0.179478
0.392577 -0.181709
0.380213 -0.183733
0.367804 -0.185469
0.355366 -0.186978
0.342904 -0.188226
0.330421 -0.189239
0.317915 -0.189930
0.305400 -0.190375
0.292880 -0.190547
0.280364 -0.190425
0.267855 -0.190026
0.255361 -0.189271
0.242890 -0.188213
0.230454 -0.186833
0.218062 -0.185122
0.205722 -0.183077
0.193452 -0.180671
0.181255 -0.177922
0.169155 -0.174794
0.157159 -0.171296
0.145288 -0.167414
0.133562 -0.163115
0.122022 -0.158358
0.110676 -0.153167
0.099553 -0.147529
0.088719 -0.141360
0.078182 -0.134705
0.068031 -0.127471
0.058297 -0.119682
0.049068 -0.111303
0.040394 -0.102346
0.032356 -0.092812
0.025015 -0.082717
0.018540 -0.072030
0.012948 -0.060845
0.008241 -0.049258
0.004629 -0.037276
0.002327 -0.024959
0.000782 -0.012518
0.000057 -0.000002
0.000906 0.012505
0.002515 0.024941
0.004462 0.037327
0.007622 0.049450
0.012022 0.061178
0.017263 0.072556
0.023286 0.083535
0.030099 0.094030
0.037625 0.104021
0.045808 0.113477
0.054589 0.122371
0.063922 0.130680
0.073726 0.138419
0.083969 0.145560
0.094584 0.152137
0.105548 0.158116
0.116767 0.163601
0.128251 0.168517
0.139930 0.172948
0.151780 0.176907
0.163779 0.180396
0.175901 0.183437
0.188124 0.186049
0.200432 0.188243
0.212809 0.190036
0.225237 0.191465
0.237703 0.192557
0.250194 0.193334
0.262703 0.193830
0.275222 0.194060
0.287746 0.194035
0.300270 0.193768
0.312787 0.193231
0.325295 0.192478
0.337792 0.191531
0.350276 0.190411
0.362742 0.189096
0.375188 0.187589
0.387617 0.185940
0.400028 0.184153
0.412411 0.182182
0.424778 0.180107
0.437125 0.177910
0.449443 0.175553
0.461746 0.173120
0.474027 0.170577
0.486282 0.167916
0.498526 0.165197
0.510741 0.162354
0.522940 0.159449
0.535121 0.156466
0.547281 0.153403
0.559433 0.150309
0.571558 0.147113
0.583675 0.143889
0.595773 0.140598
0.607860 0.137268
0.619934 0.133896
0.631990 0.130463
0.644035 0.126999
0.656066 0.123489
0.668094 0.119969
0.680097 0.116378
0.692096 0.112775
0.704080 0.109126
0.716061 0.105470
0.728025 0.101768
0.739987 0.098059
0.751932 0.094310
0.763875 0.090552
0.775799 0.086752
0.787722 0.082946
0.799634 0.079117
0.811544 0.075283
0.823443 0.071423
0.835339 0.067561
0.847217 0.063663
0.859096 0.059767
0.870969 0.055864
0.882843 0.051961
0.894704 0.048041
0.906568 0.044126
0.918427 0.040213
0.930284 0.036295
0.942112 0.032317
0.953938 0.028334
0.965726 0.024285
0.977509 0.020226
0.988809 0.015657
1.000000 0.010977
