182   NumCoords   ! The number of coordinates in the airfoil shape file.  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.250000 0.000000
! coordinates of airfoil shape
! interpolation to N points
!  x/c        y/c
1.000000 -0.000286
0.988487 -0.004880
0.976524 -0.008470
0.963817 -0.010389
0.951151 -0.012461
0.938579 -0.014881
0.926047 -0.017414
0.913661 -0.020342
0.901295 -0.023307
0.889080 -0.026813
0.876882 -0.030461
0.864819 -0.034527
0.852775 -0.038741
0.840851 -0.043276
0.828956 -0.047959
0.817128 -0.052821
0.805333 -0.057817
0.793627 -0.063008
0.781961 -0.068327
0.770319 -0.073715
0.758711 -0.079209
0.747125 -0.084761
0.735572 -0.090405
0.724017 -0.096058
0.712485 -0.101774
0.700912 -0.107424
0.689354 -0.113111
0.677757 -0.118732
0.666161 -0.124358
0.654511 -0.129882
0.642845 -0.135376
0.631119 -0.140746
0.619363 -0.146053
0.607551 -0.151235
0.595697 -0.156324
0.583790 -0.161287
0.571830 -0.166121
0.559833 -0.170864
0.547751 -0.175381
0.535633 -0.179802
0.523433 -0.183986
0.511198 -0.188068
0.498908 -0.191983
0.486539 -0.195620
0.474126 -0.199112
0.461657 -0.202392
0.449132 -0.205430
0.436550 -0.208229
0.423909 -0.210729
0.411234 -0.213038
0.398512 -0.215092
0.385748 -0.216837
0.372955 -0.218304
0.360131 -0.219494
0.347287 -0.220457
0.334430 -0.221028
0.321565 -0.221338
0.308694 -0.221346
0.295827 -0.221074
0.282977 -0.220471
0.270156 -0.219499
0.257368 -0.218204
0.244616 -0.216563
0.231914 -0.214598
0.219278 -0.212264
0.206722 -0.209554
0.194251 -0.206485
0.181904 -0.202982
0.169662 -0.199131
0.157580 -0.194831
0.145650 -0.190138
0.133916 -0.184999
0.122381 -0.179434
0.111119 -0.173356
0.100137 -0.166807
0.089473 -0.159771
0.079184 -0.152207
0.069289 -0.144147
0.059833 -0.135568
0.050848 -0.126493
0.042462 -0.116864
0.034673 -0.106739
0.027591 -0.096105
0.021153 -0.085042
0.015495 -0.073533
0.010674 -0.061634
0.006768 -0.049402
0.003820 -0.036884
0.001862 -0.024146
0.000571 -0.011318
0.000090 0.001562
0.000992 0.014426
0.002540 0.027231
0.004439 0.039988
0.007280 0.052555
0.011244 0.064806
0.016080 0.076741
0.021632 0.088349
0.027873 0.099586
0.034816 0.110392
0.042427 0.120732
0.050613 0.130607
0.059397 0.139949
0.068654 0.148806
0.078386 0.157130
0.088558 0.164910
0.099152 0.172108
0.110050 0.178835
0.121304 0.184964
0.132800 0.190623
0.144531 0.195789
0.156468 0.200465
0.168579 0.204680
0.180839 0.208448
0.193235 0.211763
0.205753 0.214610
0.218369 0.217030
0.231058 0.219062
0.243803 0.220734
0.256594 0.222063
0.269420 0.223067
0.282270 0.223769
0.295140 0.224153
0.308017 0.224231
0.320896 0.224016
0.333772 0.223543
0.346641 0.222851
0.359498 0.221953
0.372334 0.220760
0.385153 0.219371
0.397957 0.217835
0.410729 0.216053
0.423481 0.214125
0.436208 0.212024
0.448896 0.209700
0.461565 0.207273
0.474206 0.204700
0.486811 0.201956
0.499397 0.199128
0.511940 0.196113
0.524459 0.193005
0.536942 0.189761
0.549396 0.186405
0.561836 0.183003
0.574228 0.179435
0.586608 0.175829
0.598952 0.172106
0.611278 0.168327
0.623579 0.164472
0.635843 0.160509
0.648081 0.156473
0.660294 0.152366
0.672497 0.148236
0.684644 0.143958
0.696780 0.139652
0.708882 0.135260
0.720979 0.130858
0.733034 0.126354
0.745085 0.121840
0.757091 0.117223
0.769090 0.112592
0.781036 0.107846
0.792978 0.103091
0.804890 0.098274
0.816797 0.093446
0.828666 0.088542
0.840529 0.083626
0.852329 0.078590
0.864128 0.073554
0.875904 0.068474
0.887679 0.063395
0.899411 0.058238
0.911144 0.053085
0.922843 0.047878
0.934540 0.042667
0.946154 0.037309
0.957761 0.031938
0.969252 0.026380
0.980726 0.020793
0.990548 0.013507
1.000000 0.005841
