182   NumCoords   ! The number of coordinates in the airfoil shape file.  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.250000 0.000000
! coordinates of airfoil shape
! interpolation to N points
!  x/c        y/c
1.000000 -0.004391
0.987774 -0.003940
0.975525 -0.003599
0.963252 -0.003354
0.950944 -0.003342
0.938625 -0.003434
0.926298 -0.003629
0.913963 -0.003927
0.901629 -0.004308
0.889320 -0.005125
0.877034 -0.006285
0.864796 -0.007837
0.852599 -0.009703
0.840461 -0.011911
0.828383 -0.014440
0.816357 -0.017194
0.804398 -0.020236
0.792494 -0.023484
0.780658 -0.026972
0.768871 -0.030624
0.757163 -0.034525
0.745501 -0.038556
0.733904 -0.042774
0.722352 -0.047115
0.710853 -0.051594
0.699385 -0.056153
0.687958 -0.060812
0.676555 -0.065532
0.665172 -0.070300
0.653800 -0.075094
0.642436 -0.079909
0.631070 -0.084717
0.619702 -0.089520
0.608315 -0.094281
0.596922 -0.099026
0.585493 -0.103685
0.574051 -0.108308
0.562571 -0.112840
0.551063 -0.117298
0.539517 -0.121658
0.527925 -0.125895
0.516308 -0.130060
0.504629 -0.134051
0.492919 -0.137948
0.481160 -0.141695
0.469349 -0.145275
0.457503 -0.148737
0.445597 -0.151984
0.433644 -0.155055
0.421650 -0.157963
0.409592 -0.160594
0.397499 -0.163054
0.385370 -0.165335
0.373193 -0.167339
0.360979 -0.169106
0.348735 -0.170648
0.336462 -0.171949
0.324160 -0.172933
0.311843 -0.173699
0.299514 -0.174233
0.287176 -0.174508
0.274835 -0.174521
0.262498 -0.174201
0.250172 -0.173591
0.237865 -0.172682
0.225586 -0.171461
0.213342 -0.169921
0.201144 -0.168056
0.189001 -0.165859
0.176925 -0.163320
0.164931 -0.160416
0.153030 -0.157157
0.141243 -0.153503
0.129602 -0.149412
0.118111 -0.144916
0.106799 -0.139988
0.095719 -0.134560
0.084891 -0.128647
0.074393 -0.122169
0.064267 -0.115126
0.054580 -0.107493
0.045390 -0.099271
0.036769 -0.090459
0.028819 -0.081040
0.021701 -0.070984
0.015448 -0.060369
0.010063 -0.049286
0.005788 -0.037736
0.002921 -0.025758
0.001024 -0.013572
0.000058 -0.001274
0.000793 0.011036
0.002519 0.023254
0.004748 0.035381
0.008304 0.047182
0.013138 0.058524
0.018829 0.069459
0.025324 0.079934
0.032618 0.089871
0.040606 0.099261
0.049218 0.108082
0.058400 0.116311
0.068085 0.123944
0.078212 0.130984
0.088739 0.137412
0.099586 0.143286
0.110730 0.148579
0.122099 0.153370
0.133679 0.157628
0.145422 0.161416
0.157305 0.164738
0.169303 0.167616
0.181396 0.170071
0.193567 0.172108
0.205796 0.173762
0.218069 0.175058
0.230372 0.176032
0.242695 0.176697
0.255030 0.177076
0.267370 0.177200
0.279711 0.177092
0.292047 0.176753
0.304378 0.176224
0.316697 0.175483
0.329003 0.174556
0.341295 0.173452
0.353571 0.172187
0.365828 0.170737
0.378065 0.169135
0.390284 0.167406
0.402485 0.165545
0.414662 0.163538
0.426823 0.161433
0.438966 0.159228
0.451090 0.156922
0.463201 0.154547
0.475294 0.152083
0.487368 0.149531
0.499432 0.146929
0.511477 0.144242
0.523510 0.141500
0.535531 0.138704
0.547537 0.135848
0.559536 0.132963
0.571519 0.130012
0.583495 0.127033
0.595460 0.124008
0.607417 0.120951
0.619366 0.117868
0.631305 0.114744
0.643240 0.111600
0.655166 0.108426
0.667089 0.105241
0.679003 0.102022
0.690914 0.098791
0.702818 0.095536
0.714719 0.092271
0.726614 0.088983
0.738507 0.085687
0.750397 0.082378
0.762284 0.079061
0.774168 0.075734
0.786051 0.072402
0.797933 0.069064
0.809813 0.065724
0.821693 0.062379
0.833572 0.059035
0.845451 0.055690
0.857332 0.052352
0.869216 0.049022
0.881100 0.045696
0.892987 0.042376
0.904876 0.039068
0.916771 0.035782
0.928668 0.032500
0.940562 0.029211
0.952456 0.025920
0.964345 0.022615
0.976234 0.019305
0.988117 0.015978
1.000000 0.012648
