182   NumCoords   ! The number of coordinates in the airfoil shape file.  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.250000 0.000000
! coordinates of airfoil shape
! interpolation to N points
!  x/c        y/c
1.000000 -0.003300
0.988641 -0.000502
0.977224 0.002048
0.965748 0.004322
0.954217 0.006295
0.942634 0.007934
0.931005 0.009201
0.919340 0.010079
0.907651 0.010535
0.895953 0.010545
0.884262 0.010118
0.872591 0.009318
0.860945 0.008210
0.849326 0.006849
0.837733 0.005279
0.826166 0.003524
0.814624 0.001620
0.803101 -0.000404
0.791599 -0.002540
0.780123 -0.004813
0.768683 -0.007257
0.757286 -0.009898
0.745939 -0.012746
0.734638 -0.015770
0.723374 -0.018931
0.712137 -0.022185
0.700915 -0.025492
0.689700 -0.028822
0.678484 -0.032148
0.667258 -0.035441
0.656015 -0.038674
0.644749 -0.041828
0.633457 -0.044887
0.622135 -0.047833
0.610780 -0.050649
0.599401 -0.053361
0.588009 -0.056026
0.576620 -0.058699
0.565246 -0.061437
0.553894 -0.064264
0.542559 -0.067160
0.531236 -0.070102
0.519919 -0.073067
0.508602 -0.076034
0.497282 -0.078987
0.485955 -0.081911
0.474617 -0.084794
0.463264 -0.087619
0.451893 -0.090369
0.440501 -0.093030
0.429084 -0.095585
0.417642 -0.098019
0.406170 -0.100315
0.394669 -0.102458
0.383139 -0.104439
0.371581 -0.106244
0.359994 -0.107857
0.348378 -0.109250
0.336737 -0.110412
0.325074 -0.111324
0.313394 -0.111968
0.301700 -0.112323
0.290002 -0.112364
0.278307 -0.112082
0.266624 -0.111476
0.254961 -0.110574
0.243321 -0.109402
0.231707 -0.107992
0.220120 -0.106381
0.208559 -0.104590
0.197024 -0.102643
0.185512 -0.100557
0.174023 -0.098353
0.162559 -0.096021
0.151126 -0.093540
0.139732 -0.090887
0.128387 -0.088031
0.117115 -0.084902
0.105958 -0.081387
0.094973 -0.077367
0.084244 -0.072709
0.073796 -0.067448
0.063546 -0.061809
0.053390 -0.056003
0.043222 -0.050217
0.033076 -0.044393
0.023288 -0.037992
0.014458 -0.030348
0.007753 -0.020835
0.004631 -0.009634
0.004915 0.002033
0.007560 0.013412
0.012003 0.024219
0.018030 0.034230
0.025385 0.043314
0.033722 0.051512
0.042715 0.058991
0.052110 0.065960
0.061818 0.072486
0.071839 0.078520
0.082167 0.084011
0.092797 0.088893
0.103684 0.093171
0.114756 0.096946
0.125959 0.100314
0.137251 0.103369
0.148606 0.106183
0.160008 0.108804
0.171444 0.111271
0.182904 0.113621
0.194383 0.115878
0.205885 0.118014
0.217413 0.120007
0.228969 0.121828
0.240555 0.123451
0.252168 0.124862
0.263806 0.126051
0.275465 0.127019
0.287140 0.127759
0.298828 0.128268
0.310523 0.128537
0.322222 0.128568
0.333919 0.128363
0.345609 0.127934
0.357291 0.127307
0.368963 0.126503
0.380623 0.125555
0.392272 0.124482
0.403910 0.123287
0.415535 0.121971
0.427145 0.120537
0.438742 0.118994
0.450325 0.117354
0.461897 0.115631
0.473457 0.113838
0.485009 0.111987
0.496552 0.110086
0.508088 0.108139
0.519617 0.106151
0.531139 0.104126
0.542658 0.102084
0.554179 0.100047
0.565704 0.098039
0.577238 0.096080
0.588776 0.094151
0.600311 0.092194
0.611831 0.090157
0.623326 0.087985
0.634790 0.085653
0.646226 0.083187
0.657638 0.080612
0.669031 0.077955
0.680409 0.075235
0.691776 0.072464
0.703133 0.069658
0.714484 0.066829
0.725834 0.063992
0.737189 0.061176
0.748558 0.058415
0.759946 0.055737
0.771360 0.053171
0.782800 0.050727
0.794268 0.048412
0.805761 0.046230
0.817279 0.044177
0.828814 0.042225
0.840357 0.040323
0.851900 0.038420
0.863435 0.036467
0.874955 0.034431
0.886457 0.032294
0.897937 0.030040
0.909388 0.027648
0.920810 0.025117
0.932202 0.022455
0.943566 0.019674
0.954901 0.016780
0.966210 0.013784
0.977495 0.010699
0.988757 0.007535
1.000000 0.004300
