182   NumCoords   ! The number of coordinates in the airfoil shape file.  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.250000 0.000000
! coordinates of airfoil shape
! interpolation to N points
!  x/c        y/c
1.000000 -0.007602
0.988293 -0.005218
0.976572 -0.002890
0.964760 -0.001116
0.952926 0.000537
0.941026 0.001513
0.929103 0.002262
0.917163 0.002600
0.905215 0.002718
0.893275 0.002376
0.881343 0.001731
0.869435 0.000757
0.857549 -0.000479
0.845696 -0.001981
0.833877 -0.003745
0.822094 -0.005719
0.810352 -0.007940
0.798648 -0.010336
0.786995 -0.012975
0.775382 -0.015776
0.763831 -0.018824
0.752319 -0.022016
0.740866 -0.025417
0.729451 -0.028944
0.718087 -0.032633
0.706757 -0.036422
0.695465 -0.040322
0.684199 -0.044294
0.672955 -0.048328
0.661729 -0.052404
0.650510 -0.056498
0.639298 -0.060603
0.628084 -0.064698
0.616863 -0.068768
0.605635 -0.072808
0.594385 -0.076785
0.583127 -0.080735
0.571848 -0.084631
0.560555 -0.088495
0.549247 -0.092326
0.537909 -0.096076
0.526559 -0.099796
0.515163 -0.103379
0.503747 -0.106902
0.492297 -0.110316
0.480805 -0.113589
0.469288 -0.116776
0.457722 -0.119779
0.446122 -0.122648
0.434492 -0.125400
0.422813 -0.127928
0.411102 -0.130307
0.399362 -0.132533
0.387579 -0.134525
0.375768 -0.136336
0.363931 -0.137971
0.352067 -0.139402
0.340174 -0.140558
0.328262 -0.141497
0.316334 -0.142210
0.304394 -0.142684
0.292446 -0.142901
0.280497 -0.142822
0.268552 -0.142457
0.256631 -0.141666
0.244740 -0.140498
0.232875 -0.139081
0.221033 -0.137477
0.209220 -0.135674
0.197442 -0.133656
0.185706 -0.131414
0.174018 -0.128933
0.162389 -0.126193
0.150868 -0.123051
0.139481 -0.119472
0.128204 -0.115575
0.117070 -0.111303
0.106079 -0.106681
0.095278 -0.101637
0.084682 -0.096171
0.074336 -0.090234
0.064277 -0.083815
0.054517 -0.076956
0.045075 -0.069684
0.035974 -0.062026
0.027295 -0.053939
0.019232 -0.045256
0.012063 -0.035796
0.006281 -0.025382
0.002497 -0.014077
0.001294 -0.002233
0.002190 0.009619
0.005049 0.021162
0.009697 0.032124
0.015705 0.042401
0.022758 0.051990
0.030647 0.060910
0.039176 0.069235
0.048228 0.076998
0.057711 0.084234
0.067590 0.090923
0.077805 0.097082
0.088312 0.102724
0.099065 0.107883
0.110013 0.112614
0.121145 0.116910
0.132413 0.120843
0.143816 0.124386
0.155316 0.127608
0.166927 0.130424
0.178635 0.132813
0.190394 0.134944
0.202194 0.136826
0.214030 0.138468
0.225896 0.139876
0.237786 0.141064
0.249695 0.142044
0.261618 0.142830
0.273553 0.143424
0.285496 0.143829
0.297444 0.144058
0.309393 0.143884
0.321336 0.143487
0.333272 0.142920
0.345200 0.142202
0.357120 0.141346
0.369027 0.140335
0.380923 0.139195
0.392808 0.137946
0.404681 0.136596
0.416537 0.135095
0.428381 0.133509
0.440215 0.131844
0.452033 0.130066
0.463838 0.128214
0.475635 0.126304
0.487415 0.124291
0.499186 0.122229
0.510947 0.120113
0.522694 0.117922
0.534437 0.115703
0.546170 0.113437
0.557897 0.111143
0.569620 0.108830
0.581334 0.106473
0.593043 0.104094
0.604740 0.101650
0.616427 0.099160
0.628099 0.096600
0.639760 0.093987
0.651411 0.091329
0.663051 0.088622
0.674684 0.085888
0.686307 0.083111
0.697927 0.080320
0.709537 0.077491
0.721147 0.074657
0.732751 0.071800
0.744357 0.068952
0.755963 0.066106
0.767574 0.063281
0.779189 0.060473
0.790809 0.057693
0.802434 0.054937
0.814063 0.052208
0.825695 0.049496
0.837330 0.046798
0.848966 0.044105
0.860601 0.041405
0.872237 0.038701
0.883869 0.035979
0.895501 0.033247
0.907128 0.030493
0.918757 0.027739
0.930378 0.024957
0.941995 0.022153
0.953606 0.019325
0.965211 0.016477
0.976812 0.013610
0.988408 0.010730
1.000000 0.007834
