182   NumCoords   ! The number of coordinates in the airfoil shape file.  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.317313 0.000000
! coordinates of airfoil shape
! interpolation to N points
!  x/c        y/c
1.000000 0.000141
0.991960 -0.010184
0.983214 -0.019198
0.973347 -0.026039
0.963366 -0.033065
0.953333 -0.040531
0.943178 -0.048117
0.933067 -0.056222
0.922832 -0.064353
0.912626 -0.072865
0.902252 -0.081338
0.891862 -0.090055
0.881330 -0.098714
0.870777 -0.107543
0.860086 -0.116307
0.849278 -0.125081
0.838332 -0.133777
0.827343 -0.142547
0.816234 -0.151244
0.805004 -0.159860
0.793623 -0.168358
0.782116 -0.176752
0.770496 -0.185043
0.758741 -0.193186
0.746876 -0.201214
0.734825 -0.208991
0.722651 -0.216617
0.710320 -0.224007
0.697887 -0.231250
0.685290 -0.238217
0.672586 -0.245004
0.659722 -0.251494
0.646736 -0.257743
0.633619 -0.263718
0.620387 -0.269431
0.607052 -0.274896
0.593600 -0.280057
0.580072 -0.285004
0.566404 -0.289545
0.552671 -0.293853
0.538821 -0.297753
0.524913 -0.301401
0.510950 -0.304788
0.496882 -0.307681
0.482774 -0.310311
0.468618 -0.312615
0.454408 -0.314494
0.440166 -0.316043
0.425887 -0.317147
0.411602 -0.317908
0.397319 -0.318354
0.383032 -0.318344
0.368762 -0.317909
0.354518 -0.317128
0.340314 -0.316016
0.326158 -0.314360
0.312064 -0.312337
0.298040 -0.309957
0.284098 -0.307197
0.270254 -0.304002
0.256531 -0.300333
0.242931 -0.296249
0.229462 -0.291787
0.216147 -0.286922
0.203003 -0.281618
0.190046 -0.275876
0.177281 -0.269730
0.164754 -0.263089
0.152455 -0.256063
0.140438 -0.248542
0.128687 -0.240609
0.117263 -0.232194
0.106164 -0.223353
0.095460 -0.214005
0.085170 -0.204185
0.075326 -0.193894
0.065965 -0.183138
0.057118 -0.171931
0.048781 -0.160324
0.040978 -0.148334
0.033846 -0.135906
0.027331 -0.123128
0.021549 -0.109979
0.016361 -0.096578
0.011823 -0.082930
0.008026 -0.069048
0.005071 -0.054951
0.002881 -0.040709
0.001313 -0.026383
0.000350 -0.012004
0.000092 0.002399
0.000897 0.016784
0.002203 0.031131
0.003966 0.045431
0.006354 0.059635
0.009645 0.073647
0.013745 0.087429
0.018485 0.100996
0.023797 0.114342
0.029775 0.127388
0.036411 0.140095
0.043599 0.152486
0.051412 0.164467
0.059726 0.176096
0.068556 0.187317
0.077915 0.198077
0.087777 0.208345
0.098045 0.218198
0.108779 0.227501
0.119854 0.236379
0.131294 0.244768
0.143050 0.252687
0.155090 0.260152
0.167408 0.267151
0.179974 0.273675
0.192780 0.279689
0.205796 0.285216
0.219002 0.290282
0.232373 0.294912
0.245889 0.299109
0.259535 0.302885
0.273296 0.306260
0.287162 0.309201
0.301118 0.311741
0.315151 0.313858
0.329251 0.315578
0.343408 0.316944
0.357613 0.317993
0.371845 0.318587
0.386104 0.318839
0.400389 0.318811
0.414674 0.318403
0.428967 0.317680
0.443252 0.316643
0.457515 0.315192
0.471765 0.313527
0.485990 0.311523
0.500175 0.309229
0.514327 0.306649
0.528420 0.303737
0.542463 0.300559
0.556440 0.297077
0.570354 0.293335
0.584215 0.289385
0.597979 0.285108
0.611682 0.280643
0.625290 0.275899
0.638814 0.270939
0.652240 0.265740
0.665552 0.260279
0.678756 0.254589
0.691854 0.248690
0.704857 0.242628
0.717704 0.236264
0.730437 0.229728
0.743018 0.222953
0.755493 0.216048
0.767810 0.208907
0.780014 0.201644
0.792049 0.194146
0.803949 0.186516
0.815641 0.178628
0.827205 0.170633
0.838604 0.162471
0.849871 0.154211
0.860958 0.145770
0.871860 0.137211
0.882543 0.128427
0.893087 0.119572
0.903459 0.110595
0.913685 0.101557
0.923668 0.092347
0.933501 0.083090
0.943137 0.073708
0.952620 0.064285
0.961848 0.054651
0.970880 0.044969
0.979606 0.035031
0.988139 0.025040
0.994372 0.012840
1.000000 0.000141
