182   NumCoords   ! The number of coordinates in the airfoil shape file.  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.429435 0.000000
! coordinates of airfoil shape
! interpolation to N points
!  x/c        y/c
1.000000 0.000054
0.996620 -0.014641
0.992690 -0.028819
0.987977 -0.042131
0.982839 -0.055477
0.977283 -0.068940
0.971281 -0.082376
0.964960 -0.095939
0.958250 -0.109428
0.951211 -0.122969
0.943701 -0.136364
0.935823 -0.149719
0.927565 -0.162918
0.918978 -0.176041
0.910024 -0.188989
0.900630 -0.201732
0.890863 -0.214257
0.880783 -0.226623
0.870365 -0.238766
0.859615 -0.250673
0.848460 -0.262265
0.836967 -0.273570
0.825168 -0.284598
0.813063 -0.295324
0.800668 -0.305751
0.787941 -0.315796
0.774894 -0.325456
0.761567 -0.334740
0.747991 -0.343677
0.734150 -0.352212
0.720076 -0.360371
0.705749 -0.368088
0.691177 -0.375340
0.676396 -0.382158
0.661424 -0.388540
0.646277 -0.394492
0.630959 -0.399985
0.615495 -0.405036
0.599874 -0.409578
0.584136 -0.413666
0.568267 -0.417188
0.552316 -0.420270
0.536293 -0.422886
0.520188 -0.424905
0.504043 -0.426467
0.487868 -0.427549
0.471671 -0.428086
0.455474 -0.428140
0.439288 -0.427662
0.423141 -0.426642
0.407047 -0.425137
0.391014 -0.423092
0.375068 -0.420509
0.359220 -0.417441
0.343493 -0.413875
0.327898 -0.409750
0.312458 -0.405126
0.297183 -0.400022
0.282091 -0.394429
0.267200 -0.388336
0.252529 -0.381732
0.238091 -0.374645
0.223895 -0.367105
0.209988 -0.359069
0.196363 -0.350566
0.183038 -0.341605
0.170021 -0.332208
0.157337 -0.322352
0.145023 -0.312054
0.133083 -0.301311
0.121508 -0.290171
0.110350 -0.278603
0.099629 -0.266625
0.089342 -0.254247
0.079541 -0.241467
0.070220 -0.228313
0.061409 -0.214792
0.053132 -0.200919
0.045384 -0.186729
0.038179 -0.172242
0.031593 -0.157440
0.025579 -0.142381
0.020214 -0.127059
0.015450 -0.111534
0.011281 -0.095828
0.007778 -0.079951
0.004942 -0.063931
0.002801 -0.047798
0.001251 -0.031596
0.000369 -0.015343
0.000035 0.000928
0.000581 0.017192
0.001595 0.033433
0.003221 0.049624
0.005438 0.065743
0.008404 0.081730
0.012024 0.097569
0.016272 0.113243
0.021085 0.128746
0.026522 0.144029
0.032583 0.159061
0.039195 0.173847
0.046398 0.188334
0.054142 0.202530
0.062405 0.216412
0.071224 0.229929
0.080543 0.243080
0.090349 0.255864
0.100637 0.268231
0.111348 0.280224
0.122523 0.291775
0.134090 0.302917
0.146029 0.313649
0.158377 0.323909
0.171067 0.333730
0.184091 0.343085
0.197431 0.351974
0.211090 0.360371
0.225037 0.368290
0.239244 0.375738
0.253694 0.382714
0.268375 0.389213
0.283270 0.395218
0.298365 0.400732
0.313638 0.405749
0.329083 0.410253
0.344681 0.414263
0.360412 0.417792
0.376257 0.420786
0.392200 0.423296
0.408233 0.425321
0.424326 0.426858
0.440479 0.427872
0.456664 0.428431
0.472872 0.428374
0.489085 0.427966
0.505288 0.426965
0.521466 0.425572
0.537599 0.423607
0.553673 0.421178
0.569672 0.418257
0.585582 0.414858
0.601391 0.411006
0.617090 0.406710
0.632649 0.401930
0.648074 0.396737
0.663337 0.391085
0.678419 0.384980
0.693303 0.378427
0.707980 0.371440
0.722442 0.364042
0.736681 0.356249
0.750694 0.348088
0.764445 0.339508
0.777922 0.330543
0.791086 0.321163
0.803974 0.311455
0.816560 0.301390
0.828856 0.291021
0.840832 0.280313
0.852461 0.269287
0.863692 0.257896
0.874590 0.246246
0.885136 0.234321
0.895340 0.222162
0.905179 0.209744
0.914542 0.197047
0.923509 0.184101
0.932108 0.170975
0.940320 0.157659
0.948146 0.144183
0.955455 0.130487
0.962363 0.116663
0.968854 0.102695
0.974941 0.088624
0.980586 0.074396
0.985731 0.060073
0.990394 0.045604
0.994597 0.031076
0.997554 0.015667
1.000000 0.000054
