182   NumCoords   ! The number of coordinates in the airfoil shape file.  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.250000 0.000000
! coordinates of airfoil shape
! interpolation to N points
!  x/c        y/c
1.000000 -0.008074
0.988254 -0.005736
0.976501 -0.003431
0.964651 -0.001713
0.952784 -0.000095
0.940849 0.000808
0.928894 0.001501
0.916924 0.001780
0.904948 0.001860
0.892981 0.001480
0.881023 0.000810
0.869089 -0.000183
0.857177 -0.001432
0.845298 -0.002950
0.833454 -0.004735
0.821647 -0.006733
0.809884 -0.008989
0.798159 -0.011426
0.786490 -0.014120
0.774862 -0.016979
0.763299 -0.020093
0.751774 -0.023346
0.740309 -0.026807
0.728882 -0.030389
0.717507 -0.034136
0.706167 -0.037984
0.694867 -0.041949
0.683595 -0.045991
0.672349 -0.050103
0.661122 -0.054265
0.649906 -0.058454
0.638700 -0.062663
0.627494 -0.066871
0.616285 -0.071065
0.605070 -0.075239
0.593835 -0.079355
0.582591 -0.083446
0.571324 -0.087476
0.560040 -0.091464
0.548737 -0.095404
0.537399 -0.099248
0.526046 -0.103054
0.514641 -0.106704
0.503214 -0.110288
0.491750 -0.113753
0.480240 -0.117064
0.468704 -0.120285
0.457114 -0.123308
0.445488 -0.126190
0.433833 -0.128951
0.422125 -0.131477
0.410385 -0.133849
0.398615 -0.136068
0.386801 -0.138043
0.374959 -0.139836
0.363092 -0.141451
0.351198 -0.142863
0.339274 -0.143992
0.327332 -0.144908
0.315375 -0.145598
0.303407 -0.146053
0.291431 -0.146255
0.279454 -0.146164
0.267482 -0.145789
0.255535 -0.144978
0.243619 -0.143781
0.231729 -0.142338
0.219862 -0.140712
0.208025 -0.138887
0.196223 -0.136845
0.184464 -0.134571
0.172757 -0.132046
0.161113 -0.129248
0.149586 -0.126017
0.138204 -0.122317
0.126939 -0.118284
0.115828 -0.113856
0.104868 -0.109071
0.094106 -0.103858
0.083553 -0.098233
0.073248 -0.092157
0.063233 -0.085610
0.053527 -0.078617
0.044162 -0.071185
0.035179 -0.063322
0.026661 -0.054987
0.018787 -0.046053
0.011800 -0.036394
0.006120 -0.025881
0.002263 -0.014564
0.000896 -0.002701
0.001601 0.009202
0.004286 0.020827
0.008783 0.031893
0.014643 0.042301
0.021555 0.052042
0.029323 0.061121
0.037757 0.069594
0.046737 0.077493
0.056161 0.084861
0.065991 0.091681
0.076161 0.097981
0.086626 0.103772
0.097343 0.109082
0.108264 0.113963
0.119378 0.118396
0.130637 0.122451
0.142039 0.126096
0.153547 0.129401
0.165174 0.132267
0.176908 0.134671
0.188694 0.136801
0.200524 0.138671
0.212391 0.140294
0.224288 0.141678
0.236208 0.142841
0.248147 0.143799
0.260099 0.144565
0.272063 0.145142
0.284034 0.145536
0.296009 0.145760
0.307985 0.145564
0.319955 0.145146
0.331918 0.144564
0.343874 0.143836
0.355821 0.142975
0.367755 0.141957
0.379678 0.140809
0.391590 0.139555
0.403491 0.138200
0.415373 0.136692
0.427245 0.135101
0.439106 0.133434
0.450950 0.131650
0.462783 0.129792
0.474607 0.127875
0.486412 0.125850
0.498209 0.123775
0.509996 0.121645
0.521768 0.119436
0.533535 0.117197
0.545291 0.114906
0.557041 0.112580
0.568784 0.110228
0.580517 0.107824
0.592246 0.105400
0.603962 0.102911
0.615670 0.100386
0.627365 0.097801
0.639051 0.095171
0.650728 0.092505
0.662395 0.089792
0.674056 0.087057
0.685707 0.084279
0.697356 0.081489
0.708995 0.078661
0.720633 0.075828
0.732264 0.072966
0.743896 0.070108
0.755526 0.067243
0.767159 0.064391
0.778792 0.061543
0.790429 0.058711
0.802068 0.055892
0.813710 0.053089
0.825353 0.050294
0.836998 0.047508
0.848644 0.044729
0.860290 0.041947
0.871938 0.039169
0.883585 0.036383
0.895234 0.033599
0.906880 0.030805
0.918531 0.028027
0.930178 0.025232
0.941823 0.022425
0.953464 0.019604
0.965102 0.016773
0.976737 0.013929
0.988370 0.011080
1.000000 0.008222
