182   NumCoords   ! The number of coordinates in the airfoil shape file.  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.250000 0.000000
! coordinates of airfoil shape
! interpolation to N points
!  x/c        y/c
1.000000 -0.007345
0.987905 -0.005994
0.975766 -0.004848
0.963584 -0.003896
0.951338 -0.003377
0.939073 -0.003068
0.926791 -0.002955
0.914500 -0.003087
0.902209 -0.003398
0.889938 -0.004092
0.877689 -0.005175
0.865484 -0.006625
0.853314 -0.008368
0.841201 -0.010467
0.829146 -0.012876
0.817137 -0.015503
0.805192 -0.018414
0.793306 -0.021555
0.781480 -0.024915
0.769706 -0.028454
0.758011 -0.032250
0.746362 -0.036181
0.734772 -0.040283
0.723234 -0.044531
0.711744 -0.048910
0.700289 -0.053376
0.688873 -0.057944
0.677487 -0.062586
0.666120 -0.067275
0.654766 -0.071997
0.643424 -0.076747
0.632082 -0.081496
0.620738 -0.086241
0.609381 -0.090955
0.598016 -0.095651
0.586624 -0.100279
0.575214 -0.104865
0.563773 -0.109371
0.552303 -0.113804
0.540794 -0.118134
0.529243 -0.122352
0.517663 -0.126487
0.506029 -0.130471
0.494361 -0.134350
0.482642 -0.138075
0.470875 -0.141644
0.459069 -0.145083
0.447208 -0.148327
0.435301 -0.151397
0.423350 -0.154291
0.411342 -0.156939
0.399300 -0.159426
0.387222 -0.161732
0.375096 -0.163773
0.362933 -0.165570
0.350736 -0.167126
0.338508 -0.168427
0.326253 -0.169423
0.313982 -0.170212
0.301699 -0.170785
0.289408 -0.171101
0.277112 -0.171152
0.264818 -0.170893
0.252535 -0.170349
0.240268 -0.169508
0.228027 -0.168357
0.215819 -0.166889
0.203655 -0.165102
0.191542 -0.162992
0.179493 -0.160545
0.167525 -0.157730
0.155645 -0.154564
0.143873 -0.151016
0.132242 -0.147033
0.120754 -0.142655
0.109441 -0.137844
0.098341 -0.132561
0.087489 -0.126789
0.076938 -0.120484
0.066740 -0.113628
0.056957 -0.106194
0.047638 -0.098190
0.038853 -0.089608
0.030700 -0.080426
0.023322 -0.070619
0.016776 -0.060238
0.011094 -0.049360
0.006489 -0.037989
0.003262 -0.026154
0.001155 -0.014049
0.000070 -0.001809
0.000727 0.010459
0.002531 0.022619
0.004983 0.034656
0.008762 0.046337
0.013813 0.057533
0.019744 0.068286
0.026476 0.078554
0.033978 0.088275
0.042155 0.097438
0.050933 0.106028
0.060250 0.114033
0.070043 0.121451
0.080252 0.128289
0.090843 0.134521
0.101733 0.140218
0.112901 0.145352
0.124286 0.149985
0.135867 0.154107
0.147601 0.157776
0.159470 0.160976
0.171448 0.163748
0.183513 0.166113
0.195652 0.168064
0.207845 0.169648
0.220078 0.170889
0.232339 0.171820
0.244619 0.172449
0.256910 0.172801
0.269206 0.172900
0.281501 0.172773
0.293792 0.172420
0.306078 0.171894
0.318354 0.171193
0.330618 0.170305
0.342868 0.169233
0.355101 0.167993
0.367316 0.166574
0.379511 0.165000
0.391688 0.163294
0.403847 0.161456
0.415984 0.159483
0.428104 0.157405
0.440206 0.155225
0.452295 0.152974
0.464369 0.150650
0.476428 0.148242
0.488470 0.145755
0.500500 0.143213
0.512515 0.140598
0.524517 0.137925
0.536507 0.135197
0.548484 0.132414
0.560454 0.129599
0.572410 0.126729
0.584358 0.123824
0.596295 0.120873
0.608225 0.117893
0.620147 0.114886
0.632060 0.111840
0.643967 0.108771
0.655866 0.105674
0.667762 0.102561
0.679650 0.099418
0.691534 0.096260
0.703411 0.093080
0.715286 0.089887
0.727154 0.086672
0.739020 0.083447
0.750882 0.080210
0.762743 0.076966
0.774600 0.073711
0.786457 0.070451
0.798312 0.067187
0.810166 0.063921
0.822019 0.060650
0.833872 0.057380
0.845726 0.054109
0.857582 0.050848
0.869440 0.047597
0.881300 0.044351
0.893162 0.041113
0.905027 0.037888
0.916899 0.034685
0.928773 0.031494
0.940649 0.028309
0.952525 0.025124
0.964397 0.021927
0.976267 0.018723
0.988134 0.015506
1.000000 0.012285
