182   NumCoords   ! The number of coordinates in the airfoil shape file.  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.250000 0.000000
! coordinates of airfoil shape
! interpolation to N points
!  x/c        y/c
1.000000 -0.002047
0.988568 0.000081
0.977100 0.002046
0.965596 0.003826
0.954057 0.005401
0.942485 0.006746
0.930884 0.007838
0.919258 0.008659
0.907616 0.009188
0.895966 0.009403
0.884319 0.009306
0.872680 0.008927
0.861056 0.008300
0.849447 0.007451
0.837855 0.006398
0.826282 0.005148
0.814729 0.003715
0.803195 0.002112
0.791683 0.000338
0.780201 -0.001627
0.768754 -0.003797
0.757350 -0.006182
0.745991 -0.008776
0.734676 -0.011552
0.723398 -0.014482
0.712152 -0.017531
0.700929 -0.020671
0.689724 -0.023874
0.678529 -0.027116
0.667339 -0.030374
0.656147 -0.033624
0.644947 -0.036848
0.633736 -0.040030
0.622509 -0.043150
0.611261 -0.046191
0.599996 -0.049163
0.588719 -0.052089
0.577437 -0.054997
0.566157 -0.057919
0.554882 -0.060867
0.543609 -0.063825
0.532334 -0.066777
0.521054 -0.069709
0.509765 -0.072604
0.498464 -0.075452
0.487149 -0.078241
0.475817 -0.080962
0.464467 -0.083601
0.453095 -0.086145
0.441701 -0.088583
0.430283 -0.090904
0.418839 -0.093095
0.407369 -0.095140
0.395872 -0.097029
0.384349 -0.098754
0.372801 -0.100303
0.361230 -0.101662
0.349635 -0.102811
0.338021 -0.103741
0.326389 -0.104438
0.314746 -0.104883
0.303094 -0.105066
0.291441 -0.104973
0.279793 -0.104601
0.268157 -0.103949
0.256538 -0.103039
0.244940 -0.101889
0.233366 -0.100516
0.221818 -0.098947
0.210295 -0.097200
0.198798 -0.095289
0.187327 -0.093226
0.175881 -0.091030
0.164462 -0.088698
0.153073 -0.086223
0.141719 -0.083592
0.130405 -0.080793
0.119145 -0.077789
0.107964 -0.074516
0.096898 -0.070888
0.086006 -0.066801
0.075314 -0.062246
0.064788 -0.057323
0.054385 -0.052123
0.044069 -0.046721
0.033888 -0.041053
0.024064 -0.034790
0.015013 -0.027485
0.007611 -0.018604
0.003291 -0.007967
0.003020 0.003586
0.006189 0.014749
0.011419 0.025093
0.018120 0.034563
0.025931 0.043168
0.034563 0.050972
0.043789 0.058072
0.053434 0.064583
0.063411 0.070563
0.073686 0.076012
0.084227 0.080929
0.095007 0.085315
0.105981 0.089212
0.117091 0.092718
0.128295 0.095923
0.139565 0.098890
0.150887 0.101657
0.162249 0.104251
0.173646 0.106688
0.185071 0.108990
0.196521 0.111168
0.207996 0.113205
0.219497 0.115084
0.231026 0.116787
0.242582 0.118300
0.254162 0.119612
0.265764 0.120712
0.277384 0.121603
0.289019 0.122281
0.300665 0.122741
0.312317 0.122976
0.323972 0.122988
0.335624 0.122781
0.347272 0.122367
0.358911 0.121762
0.370540 0.120986
0.382158 0.120063
0.393765 0.119007
0.405359 0.117822
0.416941 0.116517
0.428509 0.115096
0.440063 0.113568
0.451604 0.111944
0.463133 0.110237
0.474651 0.108457
0.486160 0.106616
0.497660 0.104722
0.509152 0.102780
0.520637 0.100797
0.532116 0.098780
0.543591 0.096743
0.555066 0.094703
0.566544 0.092677
0.578026 0.090680
0.589512 0.088704
0.600997 0.086722
0.612476 0.084704
0.623943 0.082621
0.635393 0.080453
0.646828 0.078213
0.658249 0.075913
0.669660 0.073565
0.681061 0.071178
0.692454 0.068754
0.703841 0.066301
0.715222 0.063822
0.726599 0.061323
0.737976 0.058819
0.749357 0.056325
0.760745 0.053857
0.772142 0.051426
0.783549 0.049036
0.794966 0.046691
0.806390 0.044391
0.817823 0.042139
0.829261 0.039923
0.840700 0.037720
0.852136 0.035507
0.863567 0.033259
0.874989 0.030964
0.886402 0.028617
0.897805 0.026211
0.909195 0.023743
0.920573 0.021217
0.931939 0.018642
0.943296 0.016031
0.954645 0.013394
0.965988 0.010745
0.977327 0.008099
0.988664 0.005467
1.000000 0.002863
