182   NumCoords   ! The number of coordinates in the airfoil shape file.  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.250000 0.000000
! coordinates of airfoil shape
! interpolation to N points
!  x/c        y/c
1.000000 -0.000370
0.988470 0.000862
0.976934 0.002043
0.965392 0.003161
0.953843 0.004204
0.942286 0.005158
0.930722 0.006014
0.919150 0.006760
0.907571 0.007386
0.895985 0.007876
0.884394 0.008219
0.872800 0.008405
0.861204 0.008421
0.849609 0.008256
0.838019 0.007895
0.826437 0.007320
0.814869 0.006518
0.803320 0.005480
0.791797 0.004188
0.780305 0.002635
0.768851 0.000831
0.757436 -0.001211
0.746061 -0.003464
0.734726 -0.005910
0.723430 -0.008530
0.712171 -0.011305
0.700948 -0.014221
0.689755 -0.017253
0.678590 -0.020384
0.667447 -0.023595
0.656323 -0.026868
0.645212 -0.030187
0.634109 -0.033531
0.623008 -0.036885
0.611905 -0.040229
0.600793 -0.043546
0.589669 -0.046822
0.578531 -0.050046
0.567376 -0.053214
0.556204 -0.056322
0.545014 -0.059362
0.533804 -0.062329
0.522573 -0.065216
0.511320 -0.068015
0.500044 -0.070723
0.488745 -0.073332
0.477423 -0.075836
0.466076 -0.078227
0.454704 -0.080494
0.443307 -0.082635
0.431886 -0.084642
0.420441 -0.086506
0.408972 -0.088217
0.397480 -0.089766
0.385967 -0.091149
0.374434 -0.092357
0.362883 -0.093375
0.351316 -0.094197
0.339737 -0.094817
0.328149 -0.095226
0.316554 -0.095404
0.304958 -0.095356
0.293366 -0.095086
0.281780 -0.094593
0.270206 -0.093880
0.258647 -0.092960
0.247106 -0.091839
0.235586 -0.090514
0.224089 -0.089003
0.212617 -0.087313
0.201171 -0.085450
0.189755 -0.083419
0.178366 -0.081234
0.167007 -0.078902
0.155677 -0.076434
0.144376 -0.073834
0.133105 -0.071110
0.121861 -0.068273
0.110646 -0.065324
0.099473 -0.062221
0.088364 -0.058897
0.077345 -0.055286
0.066449 -0.051321
0.055717 -0.046932
0.045203 -0.042043
0.034973 -0.036586
0.025103 -0.030505
0.015755 -0.023655
0.007421 -0.015619
0.001499 -0.005739
0.000484 0.005663
0.004356 0.016538
0.010637 0.026262
0.018239 0.035009
0.026662 0.042973
0.035687 0.050249
0.045225 0.056841
0.055206 0.062741
0.065542 0.067992
0.076157 0.072656
0.086984 0.076806
0.097965 0.080529
0.109055 0.083916
0.120216 0.087061
0.131421 0.090049
0.142661 0.092898
0.153937 0.095603
0.165248 0.098160
0.176593 0.100558
0.187971 0.102795
0.199380 0.104868
0.210819 0.106772
0.222285 0.108499
0.233778 0.110045
0.245293 0.111409
0.256829 0.112588
0.268383 0.113570
0.279952 0.114359
0.291533 0.114953
0.303122 0.115348
0.314716 0.115535
0.326312 0.115523
0.337906 0.115315
0.349495 0.114919
0.361077 0.114344
0.372650 0.113606
0.384211 0.112716
0.395761 0.111682
0.407298 0.110512
0.418822 0.109220
0.430332 0.107816
0.441830 0.106310
0.453315 0.104707
0.464787 0.103020
0.476249 0.101259
0.487700 0.099431
0.499142 0.097546
0.510575 0.095610
0.522002 0.093635
0.533423 0.091628
0.544840 0.089598
0.556254 0.087554
0.567667 0.085503
0.579081 0.083455
0.590497 0.081418
0.601916 0.079401
0.613340 0.077410
0.624768 0.075444
0.636199 0.073496
0.647633 0.071560
0.659067 0.069627
0.670500 0.067693
0.681932 0.065750
0.693362 0.063791
0.704787 0.061810
0.716208 0.059800
0.727622 0.057753
0.739028 0.055666
0.750426 0.053530
0.761814 0.051341
0.773189 0.049091
0.784552 0.046775
0.795899 0.044389
0.807232 0.041931
0.818551 0.039412
0.829859 0.036843
0.841159 0.034238
0.852453 0.031609
0.863744 0.028968
0.875035 0.026327
0.886329 0.023697
0.897628 0.021090
0.908936 0.018520
0.920255 0.015999
0.931587 0.013541
0.942936 0.011157
0.954303 0.008864
0.965691 0.006680
0.977103 0.004620
0.988539 0.002701
1.000000 0.000940
