182   NumCoords   ! The number of coordinates in the airfoil shape file.  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.250000 0.000000
! coordinates of airfoil shape
! interpolation to N points
!  x/c        y/c
1.000000 -0.003826
0.988598 -0.001079
0.977144 0.001444
0.965627 0.003657
0.954059 0.005591
0.942438 0.007148
0.930772 0.008352
0.919073 0.009164
0.907353 0.009579
0.895625 0.009545
0.883905 0.009092
0.872205 0.008271
0.860530 0.007147
0.848882 0.005769
0.837261 0.004175
0.825668 0.002393
0.814101 0.000450
0.802556 -0.001619
0.791036 -0.003816
0.779543 -0.006154
0.768089 -0.008672
0.756678 -0.011380
0.745318 -0.014296
0.734003 -0.017382
0.722727 -0.020607
0.711479 -0.023927
0.700249 -0.027306
0.689027 -0.030715
0.677808 -0.034127
0.666582 -0.037516
0.655341 -0.040854
0.644082 -0.044125
0.632800 -0.047310
0.621490 -0.050394
0.610151 -0.053359
0.598787 -0.056227
0.587412 -0.059049
0.576036 -0.061871
0.564672 -0.064747
0.553325 -0.067697
0.541990 -0.070698
0.530664 -0.073735
0.519337 -0.076775
0.508008 -0.079810
0.496672 -0.082819
0.485325 -0.085786
0.473965 -0.088706
0.462586 -0.091553
0.451187 -0.094318
0.439766 -0.096989
0.428317 -0.099542
0.416842 -0.101969
0.405337 -0.104256
0.393802 -0.106381
0.382238 -0.108341
0.370645 -0.110125
0.359024 -0.111715
0.347375 -0.113080
0.335701 -0.114214
0.324005 -0.115102
0.312293 -0.115725
0.300568 -0.116064
0.288839 -0.116090
0.277114 -0.115797
0.265402 -0.115169
0.253710 -0.114235
0.242043 -0.113032
0.230402 -0.111599
0.218787 -0.109964
0.207199 -0.108146
0.195639 -0.106162
0.184106 -0.104028
0.172600 -0.101758
0.161129 -0.099328
0.149702 -0.096712
0.138322 -0.093907
0.127003 -0.090878
0.115765 -0.087566
0.104652 -0.083864
0.093714 -0.079667
0.083032 -0.074853
0.072632 -0.069450
0.062442 -0.063662
0.052373 -0.057677
0.042335 -0.051662
0.032369 -0.045561
0.022792 -0.038881
0.014165 -0.031015
0.007573 -0.021392
0.004370 -0.010177
0.004472 0.001511
0.006903 0.012948
0.011153 0.023845
0.017011 0.033972
0.024201 0.043202
0.032381 0.051571
0.041239 0.059226
0.050528 0.066361
0.060156 0.073038
0.070111 0.079219
0.080384 0.084857
0.090963 0.089895
0.101803 0.094339
0.112836 0.098284
0.124008 0.101818
0.135281 0.105025
0.146626 0.107976
0.158027 0.110710
0.169471 0.113269
0.180949 0.115677
0.192457 0.117949
0.203990 0.120085
0.215551 0.122064
0.227142 0.123863
0.238762 0.125460
0.250409 0.126844
0.262080 0.128008
0.273771 0.128953
0.285478 0.129675
0.297197 0.130171
0.308923 0.130436
0.320652 0.130441
0.332379 0.130213
0.344100 0.129767
0.355812 0.129129
0.367514 0.128319
0.379205 0.127363
0.390884 0.126282
0.402552 0.125080
0.414207 0.123760
0.425848 0.122318
0.437475 0.120769
0.449089 0.119126
0.460690 0.117397
0.472281 0.115596
0.483862 0.113738
0.495435 0.111824
0.506999 0.109863
0.518556 0.107859
0.530106 0.105814
0.541653 0.103750
0.553199 0.101685
0.564749 0.099642
0.576306 0.097640
0.587866 0.095658
0.599422 0.093650
0.610963 0.091563
0.622482 0.089352
0.633972 0.086992
0.645435 0.084508
0.656876 0.081923
0.668300 0.079260
0.679709 0.076538
0.691107 0.073767
0.702496 0.070962
0.713879 0.068133
0.725261 0.065297
0.736646 0.062476
0.748044 0.059704
0.759459 0.057005
0.770897 0.054408
0.782359 0.051919
0.793845 0.049547
0.805354 0.047295
0.816885 0.045160
0.828432 0.043114
0.839987 0.041115
0.851541 0.039116
0.863088 0.037071
0.874623 0.034953
0.886141 0.032745
0.897639 0.030432
0.909112 0.027996
0.920559 0.025437
0.931979 0.022762
0.943374 0.019977
0.954742 0.017091
0.966088 0.014114
0.977411 0.011056
0.988714 0.007926
1.000000 0.004732
