182   NumCoords   ! The number of coordinates in the airfoil shape file.  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.466809 0.000000
! coordinates of airfoil shape
! interpolation to N points
!  x/c        y/c
1.000000 0.000026
0.998174 -0.016127
0.995848 -0.032026
0.992854 -0.047495
0.989330 -0.062948
0.985267 -0.078409
0.980649 -0.093796
0.975591 -0.109179
0.970056 -0.124453
0.964073 -0.139670
0.957518 -0.154706
0.950476 -0.169607
0.942977 -0.184320
0.935045 -0.198874
0.926669 -0.213216
0.917748 -0.227282
0.908374 -0.241083
0.898596 -0.254648
0.888409 -0.267940
0.877819 -0.280944
0.866739 -0.293567
0.855250 -0.305842
0.843392 -0.317783
0.831171 -0.329370
0.818598 -0.340596
0.805647 -0.351397
0.792309 -0.361735
0.778650 -0.371651
0.764692 -0.381153
0.750437 -0.390210
0.735906 -0.398826
0.721091 -0.406953
0.705990 -0.414539
0.690656 -0.421638
0.675103 -0.428243
0.659351 -0.434358
0.643412 -0.439961
0.627302 -0.445047
0.611030 -0.449589
0.594624 -0.453604
0.578082 -0.457000
0.561450 -0.459893
0.544741 -0.462253
0.527957 -0.463980
0.511133 -0.465185
0.494284 -0.465861
0.477426 -0.465950
0.460577 -0.465506
0.443755 -0.464500
0.426987 -0.462887
0.410289 -0.460731
0.393675 -0.458009
0.377170 -0.454708
0.360787 -0.450879
0.344553 -0.446495
0.328478 -0.441547
0.312589 -0.436056
0.296897 -0.430043
0.281422 -0.423506
0.266182 -0.416447
0.251195 -0.408865
0.236478 -0.400778
0.222040 -0.392210
0.207935 -0.383118
0.194150 -0.373549
0.180702 -0.363515
0.167602 -0.353034
0.154865 -0.342106
0.142546 -0.330718
0.130631 -0.318901
0.119116 -0.306692
0.108045 -0.294072
0.097451 -0.281048
0.087303 -0.267660
0.077664 -0.253895
0.068519 -0.239785
0.059890 -0.225344
0.051803 -0.210582
0.044252 -0.195531
0.037246 -0.180211
0.030841 -0.164618
0.024995 -0.148798
0.019769 -0.132753
0.015147 -0.116520
0.011100 -0.100128
0.007696 -0.083586
0.004899 -0.066924
0.002775 -0.050161
0.001231 -0.033334
0.000376 -0.016457
0.000017 0.000437
0.000475 0.017328
0.001393 0.034200
0.002972 0.051022
0.005132 0.067779
0.007990 0.084425
0.011450 0.100949
0.015534 0.117326
0.020180 0.133548
0.025437 0.149577
0.031308 0.165383
0.037727 0.180967
0.044727 0.196289
0.052281 0.211341
0.060355 0.226110
0.068994 0.240546
0.078132 0.254658
0.087783 0.268419
0.097923 0.281808
0.108512 0.294839
0.119599 0.307444
0.131103 0.319661
0.143009 0.331481
0.155366 0.342829
0.168098 0.353748
0.181195 0.364217
0.194643 0.374227
0.208453 0.383734
0.222592 0.392749
0.237029 0.401281
0.251748 0.409323
0.266735 0.416863
0.281973 0.423891
0.297447 0.430396
0.313134 0.436379
0.329028 0.441811
0.345105 0.446702
0.361345 0.451059
0.377728 0.454853
0.394232 0.458115
0.410848 0.460824
0.427543 0.463010
0.444316 0.464603
0.461134 0.465694
0.477991 0.466101
0.494858 0.466112
0.511721 0.465446
0.528563 0.464353
0.545356 0.462593
0.562091 0.460325
0.578742 0.457490
0.595296 0.454119
0.611737 0.450230
0.628048 0.445818
0.644206 0.440871
0.660205 0.435435
0.676019 0.429480
0.691621 0.422994
0.706991 0.415989
0.722122 0.408494
0.737004 0.400526
0.751624 0.392103
0.765973 0.383241
0.780025 0.373923
0.793750 0.364148
0.807109 0.353899
0.820134 0.343257
0.832811 0.332218
0.845137 0.320814
0.857093 0.309036
0.868632 0.296878
0.879709 0.284319
0.890385 0.271450
0.900647 0.258271
0.910497 0.244812
0.919919 0.231068
0.928770 0.216993
0.937164 0.202659
0.945114 0.188110
0.952607 0.173347
0.959632 0.158392
0.966050 0.143200
0.971983 0.127854
0.977426 0.112357
0.982382 0.096737
0.986833 0.080977
0.990681 0.065108
0.993990 0.049128
0.996750 0.033087
0.998615 0.016610
1.000000 0.000026
